song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood,spotify_id,spotify_url
Sannajaji Puvvulu,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,0.0,Telugu,2001-05-12,0.83,0.28,0.516,0.859,-7.588,0.067,174.989,1,1,0.0135,4,79,9369059,0,0,0,Happy,6lfBtuv9V1OIQJs2ixIkrN,https://open.spotify.com/track/6lfBtuv9V1OIQJs2ixIkrN
Nagumomu Ganaleni,Bhanumathi Ramakrishna,/artist/bhanumathi-ramakrishna,0.0,Telugu,2001-06-02,0.84,0.54,0.863,0.524,-10.377,0.06,172.058,0,11,0.084,4,38,3700206,0,0,0,Happy,3iYA9kPuhabe5KVzVS7sKq,https://open.spotify.com/track/3iYA9kPuhabe5KVzVS7sKq
Thaka Dhimi Thaka,S. P. Balasubrahmanyam|Pattom Sadan,/artist/s-p-balasubrahamanyam|/artist/pattom-sadan,0.0,Telugu,2001-06-06,0.87,0.42,0.858,0.823,-5.575,0.069,149.946,1,1,0.0411,4,34,9577472,0,0,0,Energetic,6wKfdFjTo3aplTX2P39Tmg,https://open.spotify.com/track/6wKfdFjTo3aplTX2P39Tmg
Sirimalle Puvvu Meeda,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2001-06-08,0.34,0.49,0.578,0.654,-4.861,0.0708,144.943,0,1,0.086,4,40,3521827,0,0,0,Energetic,01iiqDKJPQpfCOgG4rfjid,https://open.spotify.com/track/01iiqDKJPQpfCOgG4rfjid
Rama Rama Ramaseetha,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2001-06-10,0.75,0.519,0.512,0.942,-13.313,0.07,175.031,1,11,0.0936,4,53,4400853,0,0,0,Sad,4BiPsAV070dg3eLSVf727A,https://open.spotify.com/track/4BiPsAV070dg3eLSVf727A
Yedothaapam Yedomaikam,L.R. Eswari,/artist/lr-eswari-2,0.0,Telugu,2001-07-01,0.96,0.75,0.092,0.369,-10.545,0.0476,175.017,0,10,0.0345,4,70,8311855,0,0,0,Sad,76Qx76QUZg8vk5XRSPpujv,https://open.spotify.com/track/76Qx76QUZg8vk5XRSPpujv
Enno Vuhalu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,0.0,Telugu,2001-07-03,0.24,0.679,0.346,0.474,-6.835,0.09,174.964,0,9,0.07,4,28,4908952,0,0,0,Sad,5qS3EGuCN9zoqppQx7pNSU,https://open.spotify.com/track/5qS3EGuCN9zoqppQx7pNSU
Rama Neenamamu - Suguna Dharma,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2001-07-04,0.37,0.17,0.354,0.562,-10.468,0.0249,145.045,1,3,0.064,4,86,2229052,0,0,0,Sad,6ikWS7ku7IFFGVbtjslRM6,https://open.spotify.com/track/6ikWS7ku7IFFGVbtjslRM6
Sri Suryanarayana Meluka,Bhanumathi Ramakrishna|Vani Jairam,/artist/bhanumathi-ramakrishna|/artist/vani-jayaram,0.0,Telugu,2001-07-09,0.8,0.14,0.249,0.348,-2.322,0.07,145.029,1,8,0.04,4,63,2900641,0,0,0,Sad,0Mm0YlXSl0aqKSWo5oYmJl,https://open.spotify.com/track/0Mm0YlXSl0aqKSWo5oYmJl
Oh Voorvasi Preyasi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2001-07-10,0.08,0.766,0.451,0.239,-7.263,0.093,174.024,0,5,0.06,4,41,8634700,0,0,0,Sad,2cTIQGxpeN7Bpm03bA3dHG,https://open.spotify.com/track/2cTIQGxpeN7Bpm03bA3dHG
Irusuleni Bandi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2001-08-01,0.4,0.96,0.923,0.501,-6.161,0.0401,139.984,1,4,0.0085,4,25,10322706,0,0,0,Energetic,514t0ZdQyAsQ6KLjWJPGfU,https://open.spotify.com/track/514t0ZdQyAsQ6KLjWJPGfU
Swapha Priya,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2001-08-03,0.04,0.12,0.498,0.908,-10.913,0.0166,173.95,0,11,0.03,4,89,3363567,0,0,0,Sad,7ivxQpAHstjIAwyGIWyhNi,https://open.spotify.com/track/7ivxQpAHstjIAwyGIWyhNi
Kalyana Vybhogame,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2001-08-06,0.52,0.497,0.895,0.218,-8.473,0.0437,149.844,1,2,0.1,4,77,3318306,0,0,0,Happy,0BziYsPY0dBjU5lkDNudsm,https://open.spotify.com/track/0BziYsPY0dBjU5lkDNudsm
Harikatha,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-08-08,0.61,0.043,0.245,0.687,-7.906,0.0137,144.866,1,6,0.012,4,87,104824,0,0,0,Sad,1qNlvTUC4O9IeszM51ZBsp,https://open.spotify.com/track/1qNlvTUC4O9IeszM51ZBsp
Kurisey Vennello,P. Susheela|V. Ramakrishna,/artist/p-suseela-2|/artist/v-ramakrishna-2,0.0,Telugu,2001-08-09,0.01,0.246,0.766,0.549,-7.132,0.0,149.632,1,1,0.0183,4,60,3249908,0,0,0,Sad,7AKxX0210GZXHxh97ytNHR,https://open.spotify.com/track/7AKxX0210GZXHxh97ytNHR
Ekkada Ekkada,S. P. Sailaja,/artist/s-p-sailaja-2,0.0,Telugu,2001-08-11,0.78,0.922,0.527,0.794,-10.195,0.0083,143.738,1,2,0.048,4,54,5293105,0,0,0,Sad,1OuTiuAwYZWxZmkS0Jm3kU,https://open.spotify.com/track/1OuTiuAwYZWxZmkS0Jm3kU
Mangamma O Mangamma,V. Ramakrishna|L.R. Eswari,/artist/v-ramakrishna-2|/artist/lr-eswari-2,0.0,Telugu,2001-08-12,0.85,0.8,0.136,0.963,-9.734,0.09,150.556,0,1,0.1,4,42,11071185,0,0,0,Sad,0XeRvGo5lawFYESqDSYkov,https://open.spotify.com/track/0XeRvGo5lawFYESqDSYkov
Nenevaro Nuvvevaro,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2001-09-01,0.35,0.42,0.815,0.08,-5.576,0.096,173.982,1,0,0.0,4,64,5213031,0,0,0,Energetic,3EkYCH25fUiX6SnDDYJfSP,https://open.spotify.com/track/3EkYCH25fUiX6SnDDYJfSP
Aaru Ruthuvulu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-09-03,0.48,0.01,0.307,0.776,-8.534,0.0585,149.984,1,1,0.07,4,40,10997564,0,0,0,Sad,72tS7yyC3a9yoK2jcMqKNs,https://open.spotify.com/track/72tS7yyC3a9yoK2jcMqKNs
Vegu Chukka,K J Yesudas,/artist/k-j-yesudas,0.0,Telugu,2001-09-04,0.5,0.92,0.039,0.725,-12.862,0.09,175.055,0,6,0.0652,4,56,9648418,0,0,0,Sad,5sLz0S4s9D6B6u1toMYYKC,https://open.spotify.com/track/5sLz0S4s9D6B6u1toMYYKC
Evarikivaram,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2001-09-06,0.7,0.834,0.176,0.896,-10.907,0.044,149.913,1,9,0.0929,4,66,7391438,0,0,0,Sad,3N3ySHKy6MNwnYRa97vG8u,https://open.spotify.com/track/3N3ySHKy6MNwnYRa97vG8u
Mudhabanthi Poolupetti,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,0.0,Telugu,2001-09-08,0.16,0.87,0.716,0.904,-13.632,0.0829,145.0,1,1,0.022,4,68,5992329,0,0,0,Energetic,1R8RsG3S0js8p1aIa9vAd7,https://open.spotify.com/track/1R8RsG3S0js8p1aIa9vAd7
Padhi Mandhilo Paata Paadinaa,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2001-09-10,0.18,0.98,0.632,0.174,-4.063,0.081,175.054,1,7,0.0,4,81,5002700,0,0,0,Energetic,5MtjlBnMtBDWnIbS2v78Yo,https://open.spotify.com/track/5MtjlBnMtBDWnIbS2v78Yo
Kaashmora (Full Length Audio Cinema),S. P. Balasubrahmanyam|P. Susheela|Others,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2|/artist/others,0.0,Telugu,2001-09-12,0.98,0.647,0.905,0.933,-4.92,0.0242,139.995,1,1,0.01,4,100,6541250,0,0,0,Happy,4lnnr3Qi5hMEsByLRSA7O2,https://open.spotify.com/track/4lnnr3Qi5hMEsByLRSA7O2
Oye Rajulu,P. Susheela|S. P. Balasubrahmanyam,/artist/p-suseela-2|/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-10-04,0.25,0.42,0.292,0.903,-10.136,0.07,150.918,1,1,0.009,4,30,2711491,0,0,0,Sad,4DICjOZN8nBVpOgInlHGyl,https://open.spotify.com/track/4DICjOZN8nBVpOgInlHGyl
Anthuleni Anuragam,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-10-06,0.03,0.19,0.084,0.562,-4.875,0.096,149.884,1,1,0.089,4,81,6634023,0,0,0,Sad,1VdguNDiV1S92W0Lw57eKH,https://open.spotify.com/track/1VdguNDiV1S92W0Lw57eKH
