song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Dialogue And Kabse Hoon Kya Bataon,Naseeruddin Shah|Jagjit Singh,/artist/naseeruddin-shah|/artist/jagjeet-singh-1,04:43,Urdu,01-07-2013,0.23,0.261,0.504,0.104,-9.113,0.141,85.016,1,8,0.275,4,31,3000842
Hazaron Khwahishen Aisi,Jagjit Singh,/artist/jagjeet-singh-1,05:39,Urdu,08-06-2007,0.22,0.615,0.63,0.108,-5.549,0.0413,81.009,0,10,0.512,4,93,3205289
Duniya Jise Kahte Hain,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,07:29,Urdu,09-10-2021,0.48,0.44,0.525,0.0921,-6.9,0.0944,80.87,1,5,0.531,4,87,9309906
Zulmat Kade Mein Mere,Jagjit Singh,/artist/jagjeet-singh-1,03:48,Urdu,07-02-2018,0.19,0.0157,0.692,0.0864,-2.958,0.0259,116.959,1,6,0.454,3,78,8499778
Na Tha Kuchh To Khuda Tha,Jagjit Singh,/artist/jagjeet-singh-1,03:24,Urdu,01-03-2007,0.61,0.194,0.739,0.113,-3.942,0.0248,109.985,1,1,0.224,4,84,7430391
Dialogues - Unke Dekhne Se,Jagjit Singh|Naseeruddin Shah,/artist/jagjeet-singh-1|/artist/naseeruddin-shah,03:39,Urdu,02-10-2023,0.44,0.0352,0.92,0.314,-3.469,0.188,82.508,1,11,0.494,4,81,2496517
Babul Mora Naihar Chhooto Jaye,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,05:22,Urdu,01-02-2022,0.74,0.478,0.573,0.0971,-5.843,0.0502,82.941,0,10,0.236,4,40,8059695
Manzil Na De Charagh Na De,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,05:59,Urdu,04-05-2016,0.96,0.259,0.757,0.259,-6.945,0.164,124.078,1,7,0.625,4,26,10051866
Mere Jaise Ban Jaoge,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,06:21,Urdu,04-09-2018,0.76,0.124,0.665,0.175,-6.302,0.0801,174.974,1,0,0.597,3,41,9036230
Dialogue And Aah Ko Chahiye,Naseeruddin Shah|Jagjit Singh,/artist/naseeruddin-shah|/artist/jagjeet-singh-1,04:31,Urdu,03-01-2022,0.52,0.0663,0.893,0.0335,-2.87,0.0422,108.022,1,7,0.845,4,36,3090902
Woh Firaaq Aur Woh Visal Kahan,Jagjit Singh,/artist/jagjeet-singh-1,04:23,Urdu,02-03-2014,0.69,0.291,0.692,0.177,-6.354,0.0894,110.011,1,0,0.52,4,73,2132869
Phir Kuch Ek Dil Ko Beqarari Hai,Jagjit Singh,/artist/jagjeet-singh-1,02:36,Urdu,11-03-2005,0.36,0.0299,0.647,0.119,-5.447,0.334,89.029,0,9,0.638,4,92,1115664
Kabhi Ghuncha Kabhi Shola,Jagjit Singh,/artist/jagjeet-singh-1,04:49,Urdu,02-09-2010,0.16,0.859,0.52,0.115,-7.747,0.0353,120.001,0,11,0.37,4,90,3098433
Naksh Rariyaaadi Hai Kiski,Jagjit Singh,/artist/jagjeet-singh-1,04:40,Urdu,10-09-2003,0.31,0.0228,0.611,0.116,-8.271,0.0467,185.727,1,1,0.0899,3,81,6241715
Punjabi Tappe,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,07:38,Urdu,03-02-2016,0.34,0.619,0.592,0.0901,-4.898,0.0324,101.058,0,4,0.719,4,26,10929435
Naina Tose Lage,Asha Bhosle|Ghulam Ali,/artist/asha-bhosle-1|/artist/ghulam-ali,06:43,Urdu,06-01-2007,0.15,0.0635,0.69,0.105,-5.529,0.0427,116.992,1,1,0.31,4,56,5952711
Ibteda,Chitra Singh|Gulzar|Naseeruddin Shah|Vinod Sehgal|Jagjit Singh,/artist/chitra-singh|/artist/gulzar|/artist/naseeruddin-shah|/artist/vinod-sehgal|/artist/jagjeet-singh-1,07:22,Urdu,11-11-2023,0.5,0.00148,0.728,0.379,-6.098,0.311,113.17,1,0,0.577,5,88,5598065
Sunte Hain Ke,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,05:57,Urdu,03-02-2019,0.88,0.0383,0.764,0.103,-5.484,0.0483,169.928,1,1,0.478,4,92,1030243
Bas Ke Dusavar Hain Har Kaam Ka Aasaan Hona,Jagjit Singh,/artist/jagjeet-singh-1,03:37,Urdu,05-02-2006,0.24,0.342,0.731,0.311,-5.338,0.0557,173.93,1,8,0.662,4,32,5406549
Dil Hi To Hai - Chitra Singh,Chitra Singh,/artist/chitra-singh,05:01,Urdu,09-03-2016,0.44,0.634,0.721,0.1,-7.636,0.0427,112.062,1,1,0.439,4,39,9962799
Sab Kahan Kuchh Lala - O - Gul,Jagjit Singh,/artist/jagjeet-singh-1,03:36,Urdu,09-11-2007,0.54,0.557,0.519,0.172,-8.744,0.0326,122.925,0,10,0.415,4,96,5291107
Parbaton Ke Pedon Par Sham Ka Basera,Mohammed Rafi|Suman Kalyanpur,/artist/mohammad-rafi|/artist/suman-kalyanpur,03:48,Urdu,04-01-2001,0.03,0.112,0.779,0.101,-4.839,0.0779,173.799,0,5,0.26,4,86,7503385
Tum Ko Dekha To Yeh Khayal Aaya,Jagjit Singh|Chitra Singh,/artist/jagjeet-singh-1|/artist/chitra-singh,04:51,Urdu,01-02-2002,0.96,0.445,0.454,0.136,-7.843,0.167,90.038,1,9,0.548,4,65,2474532
Aaye Hain Samjhane Log,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,03:16,Urdu,07-05-2006,0.94,0.432,0.612,0.0955,-5.534,0.0392,85.959,0,6,0.241,4,49,2680378
Jhuki Jhuki Si Nazar,Jagjit Singh,/artist/jagjeet-singh-1,05:02,Urdu,05-10-2002,0.99,0.35,0.779,0.0657,-5.609,0.375,130.091,1,0,0.936,4,56,711988
Log Har Mod Pe,Jagjit Singh,/artist/jagjeet-singh-1,05:43,Urdu,08-12-2012,0.69,0.661,0.37,0.109,-9.922,0.0604,99.894,1,1,0.662,4,73,10117495
Ai Mohabbat Tere Anjam Pe,Begum Akhtar,/artist/begum-akhtar,03:19,Urdu,06-04-2007,0.53,0.416,0.572,0.0975,-7.03,0.0545,98.967,1,1,0.304,4,29,1643899
Lai Hayat Aye Qazal - E - Chali Chal,Bhupinder Singh,/artist/bhupinder-singh,04:24,Urdu,09-12-2010,0.66,0.27,0.758,0.106,-9.28,0.0538,140.012,0,10,0.319,4,39,10155520
Dost Ghamkhwari Mein Meri Sahi Farmayenge Kya,Jagjit Singh,/artist/jagjeet-singh-1,02:35,Urdu,06-08-2011,0.1,0.0908,0.717,0.0511,-7.755,0.111,123.987,1,11,0.772,4,31,3322810
Dil Hi To Hai - Jagjit Singh,Jagjit Singh,/artist/jagjeet-singh-1,04:48,Urdu,02-08-2020,0.45,0.431,0.972,0.0907,-5.72,0.102,130.012,1,7,0.365,4,69,3095147
Socha Nahin Achha Bura,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,05:54,Urdu,10-11-2008,0.6,0.74,0.557,0.124,-5.714,0.0318,150.073,1,0,0.483,4,47,2671063
Hazaron Khwahishen Aesi,C.H. Atma,/artist/ch-atma-41,03:16,Urdu,11-01-2012,0.21,0.452,0.464,0.109,-6.975,0.0404,137.839,1,1,0.15,4,69,8655863
Raat Bhi Neend Bhi Kahani Bhi,Chitra Singh,/artist/chitra-singh,03:32,Urdu,11-05-2012,0.55,0.0533,0.618,0.0886,-9.007,0.0534,100.021,1,2,0.0683,4,64,10037866
Ya Mujhe Afsare Sahi,Bhupinder Singh,/artist/bhupinder-singh,03:06,Urdu,05-08-2018,0,0.671,0.578,0.106,-7.571,0.0524,140,1,1,0.335,4,31,2622183
Yeh Misaale Tasaffuff And Phir Kuchh Ek Dil Ko Beqarari Hai,Jagjit Singh,/artist/jagjeet-singh-1,02:35,Urdu,05-08-2004,0.64,0.791,0.307,0.11,-11.361,0.0334,177.808,1,1,0.335,4,61,4054196
Woh Kagaz Ki Kashti (Part 1),Jagjit Singh,/artist/jagjeet-singh-1,04:01,Urdu,09-03-2004,0.76,0.826,0.515,0.103,-7.227,0.0345,119.95,1,1,0.306,4,82,4373957
Bazeecha - E - Atfal Hai,Jagjit Singh,/artist/jagjeet-singh-1,05:07,Urdu,11-07-2022,0.16,0.356,0.583,0.0622,-8.771,0.0605,96.049,1,3,0.478,4,74,11376075
Koi Yeh Kaise Bataye,Jagjit Singh,/artist/jagjeet-singh-1,03:17,Urdu,06-04-2014,0.42,0.819,0.481,0.0893,-9.234,0.0433,138.997,1,1,0.212,4,75,10279438
Dil E Nadaan Tujhe Hua Kya Hai,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,04:55,Urdu,10-04-2000,0.6,0.07,0.7,0.41,-8.666,0.03,156.985,1,5,0.06,4,65,7920671
Main Sharabi Sharabi,Aziz Miyan Qawwal|Sabri Brothers,/artist/aziz-miyan-qawwal|/artist/sabri-brothers,18:26,Urdu,01-06-2002,0.87,0.525,0.408,0.408,-12.355,0.1,115.08,0,10,0.092,4,86,8272529
Tere Khushboo Mein Base Khat,Jagjit Singh,/artist/jagjeet-singh-1,01:24,Urdu,08-02-2011,0.52,0.38,0.6,0.38,-5.687,0.09,218.05,1,8,0.0306,4,45,2932811
Pathar Ke Khuda Pathar Ke Sanam,Jagjit Singh,/artist/jagjeet-singh-1,05:29,Urdu,08-01-2016,0.04,0.887,0.179,0.464,-5.81,0.0143,186.948,1,8,0.096,4,85,5711058
Pyar Mujh Se Jo Kiya,Jagjit Singh,/artist/jagjeet-singh-1,04:36,Urdu,09-03-2009,0.27,0.15,0.3,0.77,-4.703,0.058,147.988,0,3,0.0958,4,37,7202117
Dialogue And Koi Din Gar Zindgani Aur Hai,Naseeruddin Shah|Vinod Sehgal,/artist/naseeruddin-shah|/artist/vinod-sehgal,03:19,Urdu,01-03-2023,0.4,0.55,0.088,0.046,-12.056,0.08,144.915,1,8,0.012,4,84,3274336
Mere Nazneen Tum Mujhe Bhool Jana,Ustad Ali Ahmed Hussain|Mohd. Hussain|Chorus,/artist/ustad-ali-ahmed-hussain|/artist/mohd-hussain|/artist/chorus,06:31,Urdu,04-07-2000,0.23,0.32,0.6,0.06,-13.067,0.03,130.826,1,1,0.013,4,70,1760434
Dialogue And Yeh Na Thi Hamari Qismat,Chitra Singh|Naseeruddin Shah,/artist/chitra-singh|/artist/naseeruddin-shah,05:02,Urdu,06-10-2014,0.57,0.596,0.763,0.235,-8.913,0.025,138.049,0,10,0.0484,4,87,4878183
Dialogues And Kisi Ko De Ke Dil,Chitra Singh|Naseeruddin Shah,/artist/chitra-singh|/artist/naseeruddin-shah,03:45,Urdu,10-03-2010,0.67,0.39,1,0.72,-8.247,0.05,219.96,1,1,0.001,4,73,7805290
Yeh Tera Ghar Yeh Mera Ghar,Jagjit Singh|Chitra Singh,/artist/jagjeet-singh-1|/artist/chitra-singh,05:14,Urdu,03-03-2017,0.79,0.839,0.855,0.654,-2.156,0.07,199.942,0,10,0.0072,4,52,225325
Kisi Ranjish Ko Hawa Do Ke Main Zinda Hoon Abhi,Chitra Singh,/artist/chitra-singh,04:16,Urdu,08-04-2014,0.16,0.4,0.1,0.24,-12.386,0.04,189.938,0,4,0.08,4,48,9164990
Zulmat Kade Mein Mere,Jagjit Singh,/artist/jagjeet-singh-1,03:48,Urdu,09-07-2004,0.69,0.413,0.538,0.872,-13.302,0.004,124.514,1,8,0.0395,4,64,8361106
Yeh Mojiza Bhi Mohabbat Kabhi Dikhaye Mujhe,Jagjit Singh,/artist/jagjeet-singh-1,05:09,Urdu,12-07-2014,0.16,0.74,0.1,0.2,-4.765,0.01,149.97,0,5,0.08,4,83,10944512
Apni Aag Ko Zinda Rakhna,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,07:19,Urdu,02-08-2002,0.74,0.894,0.142,0.888,-9.192,0.0114,139.99,1,1,0.049,4,81,603754
Gham Badhe Aate Hain Qatil Ki Nigahon Ki Tarah,Jagjit Singh,/artist/jagjeet-singh-1,03:58,Urdu,12-07-2001,0.47,0.01,0.7,0.86,-10.779,0.06,128.014,1,2,0.028,4,51,4849624
Kaun Kahta Hai,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,05:41,Urdu,11-05-2017,0.95,0.242,0.395,0.461,-11.048,0.07,159.996,1,1,0.04,4,63,1738397
Bahot Pahle Se Un Qadmon Ki Aahat Jaan Lete Hain,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,04:05,Urdu,09-09-2004,0.07,0.01,0.8,0.99,-13.916,0.07,199.958,0,8,0.03,4,65,744900
Aah Ko Chahiye,Jagjit Singh,/artist/jagjeet-singh-1,07:22,Urdu,04-09-2020,0.27,0.24,0.308,0.666,-8.248,0.013,120.004,0,3,0.0574,4,40,11389968
Wadiyan Mera Daman (Male),Mohammed Rafi,/artist/mohammad-rafi,03:39,Urdu,05-03-2011,0.1,0.5,0,0.06,-4.81,0.0817,128.066,0,0,0.0749,4,48,5187607
Ibteda,Chitra Singh|Gulzar|Naseeruddin Shah|Vinod Sehgal|Jagjit Singh,/artist/chitra-singh|/artist/gulzar|/artist/naseeruddin-shah|/artist/vinod-sehgal|/artist/jagjeet-singh-1,07:22,Urdu,06-01-2005,0.92,0.393,0.671,0.444,-8.151,0.0579,212.15,1,8,0.08,4,29,8572769
Ek Na Ek Shama Andhere Mein Jalaye Rakhiye,Chitra Singh,/artist/chitra-singh,04:28,Urdu,07-04-2001,0.93,0.28,0.7,0.31,-4.572,0.0262,114.956,0,8,0.055,4,66,922841
Hum Mein Hi Thi Na Koi Baat,Chitra Singh|Jagjit Singh|Supported By Talents 80'S,/artist/chitra-singh|/artist/jagjeet-singh-1|/artist/supported-by-talents-80s,05:34,Urdu,11-03-2013,0.95,0.764,0.815,0.858,-11.804,0.07,111.958,1,0,0.02,4,50,2070582
Dialogue And Yeh Na Thi Hamari Qismat And Naksh Fariyaadi Hai Kiski,Chitra Singh|Naseeruddin Shah,/artist/chitra-singh|/artist/naseeruddin-shah,04:39,Urdu,03-12-2020,0.59,0.91,0.3,0.71,-2.257,0.028,139.973,1,1,0.0988,4,37,9962386
Ek Kudi Jida Naam,Hussain Bakhash Khan|Mukhtar Begum,/artist/hussain-bakhash-khan|/artist/mukhtar-begum,06:03,Urdu,06-02-2008,0.49,0.857,0.476,0.811,-5.377,0.0093,112.97,1,0,0.1,4,90,873156
Dialogue And Sab Kahan Kuchh Lala - O - Gul,Naseeruddin Shah|Chitra Singh,/artist/naseeruddin-shah|/artist/chitra-singh,04:21,Urdu,09-09-2003,0.63,0.63,0.8,0.62,-11.209,0.0612,118.03,0,10,0.07,4,38,11342523
Kaise Katen Din Ratiyan - Dadra,Begum Akhtar,/artist/begum-akhtar,03:16,Urdu,04-02-2007,0.42,0.551,0.344,0.802,-10.829,0.06,141.52,0,6,0.084,4,95,4033612
Suno Sajna Papihe Ne Kaha,Lata Mangeshkar,/artist/lata-mangeshkar,05:26,Urdu,12-04-2015,0.61,0.72,0.3,0.97,-13.042,0.084,130.037,1,0,0.074,4,67,4851124
Kabse Hoon Kya Bataon,Jagjit Singh,/artist/jagjeet-singh-1,04:00,Urdu,04-04-2017,0.37,0.313,0.279,0.452,-5.014,0.05,125.013,1,5,0.1,4,69,7245682
Hans Ke Bola Karo,Jagjit Singh,/artist/jagjeet-singh-1,03:46,Urdu,03-08-2008,0.73,0.74,0.4,0.29,-11.283,0.055,139.967,1,0,0.046,4,49,2744599
Yeh Bhi Kya Ehsaan Kam Hai,Jagjit Singh,/artist/jagjeet-singh-1,04:52,Urdu,09-01-2002,0.62,0.843,0.149,0.653,-11.219,0.0374,121.979,1,1,0.0225,4,51,4070675
Bazeecha E Atfal Hai,Mohammed Rafi,/artist/mohammad-rafi,05:00,Urdu,02-04-2010,0.06,0.47,1,0.73,-6.608,0.09,114.771,1,5,0.0998,4,90,8187763
Muddat Huyi Hai,Mohammed Rafi,/artist/mohammad-rafi,04:09,Urdu,02-04-2005,0.26,0.819,0.634,0.307,-2.501,0.0131,130.028,0,1,0.087,4,84,6092038
Rukh Se Parda Hata Dijiye,Talat Aziz,/artist/talat-aziz,04:17,Urdu,04-04-2007,0.07,0.7,0.9,0.53,-8.544,0.0324,120.006,0,8,0.0987,4,63,6830462
Ajnabi Shahr Men Ajnabi Raaste,Ashok Khosla,/artist/ashok-khosla,04:44,Urdu,06-05-2010,0.58,0.537,0.321,0.028,-7.078,0.01,119.999,1,11,0.0116,4,63,897327
Yeh Nayan Dare Dare,Lata Mangeshkar|Chorus,/artist/lata-mangeshkar|/artist/chorus,03:26,Urdu,07-11-2010,0.44,0.04,0.1,0.23,-6.515,0.099,117.962,1,0,0.05,4,51,8929665
"Nabi Nabi Ya Nabi Nabi, Pt. 1",Aziz Miyan Qawwal,/artist/aziz-miyan-qawwal,26:22:00,Urdu,06-09-2006,0.87,0.275,0.858,0.143,-7.784,0.0975,114.997,1,2,0.022,4,98,549406
Yeh Na Thi Hamari Qismat,Chitra Singh,/artist/chitra-singh,03:38,Urdu,11-07-2004,0.83,0.24,0.9,0.18,-9.087,0.04,199.974,0,10,0.039,4,85,3072052
Dil Ka Diya Jalaya,Noor Jehan Begum Jaipuri|Chorus,/artist/noor-jehan-begum-jaipuri-20|/artist/chorus,04:41,Urdu,10-05-2009,0.23,0.325,0.706,0.828,-7.408,0.023,150.029,1,8,0.077,4,73,6788893
Babul Ki Duayen Leti Ja,Mohammed Rafi,/artist/mohammad-rafi,04:08,Urdu,01-11-2014,0.81,0.38,0.4,0.26,-7.139,0.047,129.999,1,7,0.0651,4,50,2691305
Kuchh Na Kaho (Sad),Lata Mangeshkar,/artist/lata-mangeshkar,06:22,Urdu,12-08-2013,0.15,0.507,0.859,0.359,-10.182,0.04,219.808,1,11,0.016,4,83,10671440
Apni Aankhon Ke Samundar Mein,Jagjit Singh,/artist/jagjeet-singh-1,06:12,Urdu,06-01-2013,0.45,0.1,0.4,0.8,-2.091,0.09,209.998,1,8,0.0296,4,46,9174065
Duniya Kare Sawaal,Lata Mangeshkar,/artist/lata-mangeshkar,03:12,Urdu,02-10-2012,0.99,0.035,0.383,0.949,-7.362,0.0789,190.15,1,1,0.057,4,64,3592199
Tumne Sooli Pe Latakte Jise Dekha Hoga,Jagjit Singh,/artist/jagjeet-singh-1,04:09,Urdu,01-09-2002,0.87,0.2,0.4,0.54,-7.552,0.0976,180.218,0,11,0.07,4,57,488344
Baharon Mera Jeevan Bhi Sanwaro,Lata Mangeshkar,/artist/lata-mangeshkar,04:49,Urdu,07-07-2009,0.19,0.306,0.991,0.89,-2.377,0.04,129.985,1,0,0.03,4,47,2174872
Jab Bhi Tanhai Mein Ghabrake,Chitra Singh,/artist/chitra-singh,04:06,Urdu,05-09-2011,0.04,0.37,0.4,0.47,-8.137,0.09,121.829,1,7,0.09,4,78,5278773
Yeh Inayaten Ghazab Ki,Jagjit Singh,/artist/jagjeet-singh-1,07:44,Urdu,12-06-2017,0.73,0.943,0.359,0.766,-6.138,0.03,115.503,1,1,0.03,4,75,5451586
Choole Te Patila Kharke,Ranjit Kaur|Mohd. Sadiq,/artist/ranjit-kaur|/artist/mohd-sadiq,05:01,Urdu,04-07-2004,0.84,0.67,0.1,0.77,-9.036,0.029,191.186,1,11,0.0647,4,60,3296671
Sau Baar Janam Lenge,Mohammed Rafi,/artist/mohammad-rafi,03:27,Urdu,03-05-2005,0.27,0.149,0.285,0.771,-2.228,0.03,207.992,0,4,0.0146,4,26,120418
Chalo Baant Lete Hain Apni Sadayen,Chitra Singh,/artist/chitra-singh,04:00,Urdu,06-08-2004,0.97,0.16,0.7,0.94,-8.299,0.024,173.993,0,4,0.093,4,50,2791247
Kya Se Kya Ho Gaya Bewafa,Mohammed Rafi,/artist/mohammad-rafi,03:16,Urdu,08-10-2017,0.09,0.848,0.896,0.37,-10.515,0.02,117.031,1,9,0.09,4,58,4974632
Kyon Chhoda Tum Ne,Noor Jehan,/artist/noor-jehan,04:49,Urdu,01-02-2022,0.76,0.32,0.5,0.86,-4.492,0.016,141.037,0,11,0.045,4,68,3163148
Gori Sasural Chali Doli Saj Gai,Jagjit Kaur,/artist/jagjit-kaur,03:15,Urdu,01-03-2003,0.49,0.059,0.151,0.007,-2.14,0.068,162.12,0,1,0.06,4,31,8211303
Dialogue 5,Naseeruddin Shah,/artist/naseeruddin-shah,03:45,Urdu,07-03-2004,0.44,0.34,0.1,0.3,-3.27,0.0807,119.047,1,6,0.08,4,58,4199250
Itne Qareeb Aake Bhi Kya Jane,Mubarak Begum|Talat Mahmood,/artist/mubarak-begum|/artist/talat-mahmood,03:18,Urdu,10-01-2001,0.04,0.366,0.167,0.729,-7.004,0.032,120.01,0,10,0.089,4,31,492147
Yeh Haqeeqat Hai,Chitra Singh,/artist/chitra-singh,06:32,Urdu,01-08-2003,0.55,0.89,0.7,0.74,-4.922,0.024,136.462,1,1,0.0654,4,30,2541802
Diya Yeh Dil Agar Usko,Mohammed Rafi,/artist/mohammad-rafi,05:21,Urdu,11-10-2009,0.59,0.999,0.87,0.028,-10.523,0.07,217.888,1,11,0.0481,4,37,2838101
Kabhi Tumne,Ustad Ali Ahmed Hussain|Mohd. Hussain|Chorus,/artist/ustad-ali-ahmed-hussain|/artist/mohd-hussain|/artist/chorus,06:15,Urdu,05-02-2009,0.2,0.95,0.8,0.89,-5.42,0.029,143.294,1,1,0.0299,4,53,5295195
Jawani Ke Heele Haya Ke Bahane,Jagjit Singh,/artist/jagjeet-singh-1,06:21,Urdu,08-09-2014,0.64,0.091,0.3,0.109,-3.17,0.06,110.337,1,11,0.0323,4,74,6286111
Aankh Se Aankh Milata Hai Koi,Lata Mangeshkar,/artist/lata-mangeshkar,03:39,Urdu,04-02-2020,0.77,0.77,0.1,0.87,-10.006,0.09,115.282,1,7,0.0007,4,68,2700000
Nawazish Karam,Mehdi Hassan,/artist/mehdi-hassan,03:20,Urdu,06-09-2021,0.39,0.683,0.117,0.445,-12.71,0.08,219.984,0,3,0.069,4,80,8925105
Allahu Allahu Allahu,Jani Babu Qawwal,/artist/jani-babu-qawwal,05:45,Urdu,12-02-2013,0.42,0.87,0.2,0.33,-10.08,0.04,199.651,0,1,0.06,4,76,5023287
Yaad-e-Nabi Ka Gulshan Mehka,Nusrat Fateh Ali Khan,/artist/nusrat-fateh-ali-khan,28:53:00,Urdu,07-02-2007,0.37,0.685,0.137,0.519,-9.927,0.0541,150.017,1,6,0.032,4,51,4989121
Jhoothi Sachchi Aas Pe Jeena,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,06:24,Urdu,08-12-2009,0.72,0.29,0.6,1,-6.118,0.04,211.954,0,7,0.022,4,93,4187776
Sapnon Mein Agar Mere Tum Aao To,Lata Mangeshkar,/artist/lata-mangeshkar,03:02,Urdu,01-04-2016,0.26,0.468,0.207,0.488,-4.842,0.05,139.987,1,5,0.0504,4,87,1114465
Raina Beeti Jaye,Lata Mangeshkar,/artist/lata-mangeshkar,05:36,Urdu,10-08-2022,0.33,0.88,0.6,0.64,-4.055,0.06,211.95,1,1,0.1,4,47,1486553
Yeh Kya Jaane Mein Jana Hai,Chitra Singh,/artist/chitra-singh,06:19,Urdu,01-12-2008,0.6,0.834,0.722,0.839,-11.207,0.06,220.002,0,8,0.044,4,29,7010844
Tere Bina Zindagi Se,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:54,Urdu,03-03-2002,0.33,0.52,0.8,0.04,-4.774,0.0853,112.027,1,1,0.005,4,25,8723617
Yeh Mera Prem Patra,Mohammed Rafi,/artist/mohammad-rafi,04:25,Urdu,07-04-2008,0.85,0.694,0.803,0.634,-10.509,0.033,131.999,0,5,0.01,4,52,7059284
Man Re Tu Kahe Na Dheer Dhare,Mohammed Rafi,/artist/mohammad-rafi,03:16,Urdu,07-07-2022,0.4,0.75,0.5,0.03,-7.737,0.0812,192.378,0,4,0.034,4,38,1353147
Hai Akhtiar Mein Tere,Chitra Singh,/artist/chitra-singh,05:58,Urdu,04-02-2007,0.38,0.402,0.833,0.527,-4.549,0.09,119.994,1,1,0.067,4,73,9060933
Baghdad Jana Hai,Abdur Rab Chaush Qawwal|Chorus,/artist/abdur-rab-chaush-qawwal-6|/artist/chorus,03:09,Urdu,08-12-2008,0.09,0.12,0.7,0.62,-12.696,0.0018,134.974,1,4,0.001,4,67,8292572
