song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood,spotify_id,spotify_url
Nallavane Nallapadi Nee Vazhanum,T.M. Soundararajan|M. R. Vijaya|Sri Pathi,/artist/tm-soundararajan|/artist/m-r-vijaya-1|/artist/sri-pathi,0.0,Tamil,2001-05-12,0.68,0.623,0.15,0.441,-2.054,0.056,126.94,0,1,0.0852,4,65,4204277,0,0,0,Sad,5RLJ5qua7Kc6MAeSgWcAqR,https://open.spotify.com/track/5RLJ5qua7Kc6MAeSgWcAqR
Namachivaya Vazhga,S. Jayalakshmi,/artist/s-jayalakshmi-1,0.0,Tamil,2001-06-03,0.97,0.313,0.497,0.281,-9.024,0.0535,146.987,1,7,0.0511,4,70,6020903,0,0,0,Sad,54sWu8tRKy1gSo0lWhr9cQ,https://open.spotify.com/track/54sWu8tRKy1gSo0lWhr9cQ
Purindhathu Puriyathathu - Dialogue,Sivaji Ganesan|Savitri|Nagesh|K. R. Vijaya|R. Muthuraman|K. B. Sundarambal,/artist/sivaji-ganesan|/artist/savitri|/artist/nagesh|/artist/k-r-vijaya-1|/artist/r-muthuraman|/artist/k-b-sundarambal-1,0.0,Tamil,2001-06-06,0.2,0.58,0.193,0.2,-8.778,0.044,186.94,1,8,0.007,4,94,10936755,0,0,0,Sad,4FzqRnvk8pChVLzDYtoVw4,https://open.spotify.com/track/4FzqRnvk8pChVLzDYtoVw4
Thottu Kondal Oru Inbam Punnagai,K J Yesudas,/artist/k-j-yesudas,0.0,Tamil,2001-06-08,0.8,0.83,0.239,0.6,-12.741,0.0787,126.03,1,1,0.072,4,33,4447495,0,0,0,Sad,5SvwaOSjvn4YhtZp2zvJQg,https://open.spotify.com/track/5SvwaOSjvn4YhtZp2zvJQg
Un Paarvai,Vani Jairam|P. Jayachandran,/artist/vani-jayaram|/artist/p-jayachandran-1,0.0,Tamil,2001-06-12,0.91,0.494,0.142,0.997,-7.52,0.0059,192.006,1,1,0.07,4,87,4461432,0,0,0,Sad,6QZqWMkfmr7f0tWaNhMISC,https://open.spotify.com/track/6QZqWMkfmr7f0tWaNhMISC
Naaloru Medai,T.M. Soundararajan,/artist/tm-soundararajan,0.0,Tamil,2001-07-03,0.7,0.045,0.725,0.71,-9.998,0.0454,140.078,1,9,0.0903,4,71,3574170,0,0,0,Happy,1RExZrvN53RBR0CKyUfAdp,https://open.spotify.com/track/1RExZrvN53RBR0CKyUfAdp
Maranatthai Jeyitha Prayer,Bro D.G.S. Dhinakaran,/artist/bro-dgs-dhinakaran-37,0.0,Tamil,2001-07-06,0.49,0.6,0.574,0.753,-5.801,0.052,131.971,1,1,0.053,4,37,8078665,0,0,0,Sad,6m1fKS4bWur5PxK8hFumnS,https://open.spotify.com/track/6m1fKS4bWur5PxK8hFumnS
Parameswari,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2001-07-08,0.41,0.413,0.591,0.1,-12.45,0.0367,145.7,0,10,0.01,4,40,8956641,0,0,0,Sad,4tLGkQ4vnp47XDnSadQR7a,https://open.spotify.com/track/4tLGkQ4vnp47XDnSadQR7a
Pesuvathu Kiliya,T.M. Soundararajan|S. Janaki,/artist/tm-soundararajan|/artist/s-janaki,0.0,Tamil,2001-07-12,0.52,0.757,0.896,0.936,-5.323,0.037,180.026,0,10,0.039,4,82,4218863,0,0,0,Energetic,2NgUbS5nJWHQZQgFaj1hVt,https://open.spotify.com/track/2NgUbS5nJWHQZQgFaj1hVt
Iru Vizhigal,S. Janaki|P. Jayachandran,/artist/s-janaki|/artist/p-jayachandran-1,0.0,Tamil,2001-08-02,0.85,0.453,0.064,0.332,-5.483,0.028,146.975,0,10,0.07,4,45,6938950,0,0,0,Sad,3l0TxmJb695v5enaFhiUyD,https://open.spotify.com/track/3l0TxmJb695v5enaFhiUyD
Oru Naal Varuval Mummy,P. Susheela|T.M. Soundararajan,/artist/p-suseela-2|/artist/tm-soundararajan,0.0,Tamil,2001-08-07,0.54,0.3,0.295,0.4,-3.525,0.08,199.974,0,0,0.05,4,86,11112708,0,0,0,Sad,3H6J5GQfE0AvjElwBagTAL,https://open.spotify.com/track/3H6J5GQfE0AvjElwBagTAL
Varup Uyaray Neer - Story And Dialogues,Sivaji Ganesan|Padmini Kolhapure,/artist/sivaji-ganesan|/artist/padmini-kolhapure,0.0,Tamil,2001-08-10,0.71,0.975,0.198,0.494,-3.666,0.07,145.0,1,1,0.019,4,74,11137511,0,0,0,Sad,4fqzppek8n0yOK4mtWcRk1,https://open.spotify.com/track/4fqzppek8n0yOK4mtWcRk1
Singaara,S. P. Balasubrahmanyam|Chorus,/artist/s-p-balasubrahamanyam|/artist/chorus,0.0,Tamil,2001-08-11,0.72,0.169,0.06,0.653,-8.48,0.0227,176.781,0,9,0.057,4,83,5126290,0,0,0,Sad,3VSZm9MaHXQXixpckXlpoQ,https://open.spotify.com/track/3VSZm9MaHXQXixpckXlpoQ
Mullil Roja Thulluthe,P. Susheela,/artist/p-suseela-2,0.0,Tamil,2001-09-02,0.39,0.27,0.971,0.6,-5.698,0.01,169.986,0,3,0.0692,4,61,612455,0,0,0,Energetic,5PIJ3ErnVPlC8i9sAkMxNG,https://open.spotify.com/track/5PIJ3ErnVPlC8i9sAkMxNG
Idai Kaiyirandil,A. M. Rajah|P. Susheela,/artist/a-m-rajah-1|/artist/p-suseela-2,0.0,Tamil,2001-09-05,0.77,0.099,0.278,0.794,-4.552,0.085,139.947,1,8,0.026,4,26,4951023,0,0,0,Sad,4zrHSdMAvab55ctI2UrVHU,https://open.spotify.com/track/4zrHSdMAvab55ctI2UrVHU
Mongililaik Kaadukale,Vani Jairam,/artist/vani-jayaram,0.0,Tamil,2001-09-10,0.14,0.15,0.906,0.5,-8.43,0.0,119.937,1,4,0.08,4,48,6819074,0,0,0,Happy,6kEH0ofSZrFkkDmkyfh8zY,https://open.spotify.com/track/6kEH0ofSZrFkkDmkyfh8zY
Varugave Varugave,P. Susheela,/artist/p-suseela-2,0.0,Tamil,2001-10-01,0.16,0.218,0.089,0.166,-8.362,0.081,113.452,0,10,0.06,4,36,3550805,0,0,0,Sad,67a8MSUXVcEPUBfFxeAr64,https://open.spotify.com/track/67a8MSUXVcEPUBfFxeAr64
Kaavanna Thaana,S. P. Sailaja|Malaysia Vasudevan,/artist/s-p-sailaja-2|/artist/malaysia-vasudevan,0.0,Tamil,2001-10-06,0.29,0.104,0.524,0.027,-12.947,0.1,140.078,1,6,0.059,4,60,6933769,0,0,0,Sad,4qLNU367lL1QHb6KUHPtWN,https://open.spotify.com/track/4qLNU367lL1QHb6KUHPtWN
Nilai Marum Ulagil,K J Yesudas,/artist/k-j-yesudas,0.0,Tamil,2001-10-09,0.05,0.88,0.397,0.04,-13.936,0.03,141.037,0,4,0.04,4,58,1298602,0,0,0,Sad,4tZLZXCSkHMFkrVtKKcnRK,https://open.spotify.com/track/4tZLZXCSkHMFkrVtKKcnRK
Vazhdhal Unnodu,Vani Jairam,/artist/vani-jayaram,0.0,Tamil,2001-10-11,0.77,0.88,0.617,0.3,-7.674,0.0361,184.114,1,11,0.069,4,36,445862,0,0,0,Happy,6GoOWQHJO52eWRKgBlLH7L,https://open.spotify.com/track/6GoOWQHJO52eWRKgBlLH7L
Chella Kiligalam Palliyile,T.M. Soundararajan,/artist/tm-soundararajan,0.0,Tamil,2001-11-01,0.69,0.89,0.195,0.4,-9.671,0.0924,149.956,1,8,0.0541,4,41,1898701,0,0,0,Sad,3JK9C3AymKrZx3iBbxjjzl,https://open.spotify.com/track/3JK9C3AymKrZx3iBbxjjzl
Thoovanam,Salem S. Jayalakshmi,/artist/salem-s-jayalakshmi-2,0.0,Tamil,2001-11-05,0.79,0.76,0.074,0.3,-5.275,0.07,176.945,1,9,0.0524,4,68,11298230,0,0,0,Sad,76Vf6LIQpxU5HNTLsy1KxX,https://open.spotify.com/track/76Vf6LIQpxU5HNTLsy1KxX
Then Malli Poove,S. Janaki|T.M. Soundararajan,/artist/s-janaki|/artist/tm-soundararajan,0.0,Tamil,2001-11-06,0.89,0.993,0.062,0.302,-7.311,0.02,199.994,1,2,0.08,3,33,7599435,0,0,0,Sad,7feks4R1MooMlBniY4TtdS,https://open.spotify.com/track/7feks4R1MooMlBniY4TtdS
Kannirunthum,T.M. Soundararajan,/artist/tm-soundararajan,0.0,Tamil,2001-11-07,0.67,0.158,0.002,0.937,-4.808,0.019,135.994,0,11,0.0789,4,79,5290563,0,0,0,Sad,3MELRMYoI2hPiE5nxJITyb,https://open.spotify.com/track/3MELRMYoI2hPiE5nxJITyb
Naanthandi Kaathi,P. Susheela|L.R. Eswari,/artist/p-suseela-2|/artist/lr-eswari-2,0.0,Tamil,2001-11-07,0.73,0.801,0.673,0.454,-10.199,0.021,193.956,1,9,0.0028,4,79,11212661,0,0,0,Happy,74ieRQndIzmFYkxrsZ7Fhb,https://open.spotify.com/track/74ieRQndIzmFYkxrsZ7Fhb
Amma Appavum Illai,S. Janaki,/artist/s-janaki,0.0,Tamil,2001-11-09,0.85,0.81,0.621,0.7,-8.688,0.08,129.93,1,1,0.098,4,51,4066409,0,0,0,Happy,7o26saH0ciJqAfr95OlPMD,https://open.spotify.com/track/7o26saH0ciJqAfr95OlPMD
Kannurangu,K J Yesudas,/artist/k-j-yesudas,0.0,Tamil,2001-11-11,0.94,0.931,0.316,0.47,-11.407,0.0796,181.494,0,1,0.04,4,53,4671987,0,0,0,Sad,4rOCk3kvr9Oyc2uK2EmmDr,https://open.spotify.com/track/4rOCk3kvr9Oyc2uK2EmmDr
