song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence,time_signature,popularity,Stream,predicted_mood
Theme Music,Na,/artist/na,01:36,Telugu,2024-08-03,0.82,0.54,0.956,0.688,-9.19,0.014,174.172,1,1,0.0149,4,54,11366996,Happy
Chuttoo Chengavi,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:18,Telugu,2024-07-03,0.14,0.68,0.721,0.265,-10.072,0.051,150.02,0,6,0.0691,4,38,6733513,Sad
Andaala Ee Reyi,S. Janaki,/artist/s-janaki,04:33,Telugu,2024-07-02,0.88,0.062,0.859,0.19,-7.532,0.0,150.077,0,6,0.0649,4,43,5183453,Happy
Nee Peruko,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:26,Telugu,2024-06-03,0.11,0.3,0.851,0.597,-4.373,0.0708,174.037,0,2,0.01,4,63,11307867,Energetic
Elago Elago,P Suhseela,/artist/p-suhseela,03:37,Telugu,2024-06-02,0.18,0.2,0.252,0.667,-9.802,0.08,149.862,0,6,0.065,4,51,7267693,Sad
Dorala Thiruguthu,Pithapuram Nageswara Rao|Madhavapeddi Satyam,/artist/pithapuram-nageswara-rao|/artist/madhavapeddi-satyam,05:00,Telugu,2024-06-01,0.24,0.589,0.479,0.976,-13.278,0.06,173.948,1,7,0.0529,4,94,1536859,Sad
Masaka Masaka,L.R. Eswari,/artist/lr-eswari-2,04:02,Telugu,2024-05-04,0.05,0.938,0.625,0.004,-12.868,0.041,145.32,1,1,0.037,4,82,7225876,Sad
Idhi Mallella Velayani,P. Susheela,/artist/p-suseela-2,05:05,Telugu,2024-05-02,0.93,0.17,0.989,0.547,-2.317,0.0411,150.304,1,4,0.018,4,30,10415698,Energetic
Jeevaname Pavanam,Ghanatasala|Sulamangalam R Rajalakshmi,/artist/ghanatasala|/artist/sulamangalam-r-rajalakshmi,04:15,Telugu,2024-05-01,0.87,0.26,0.762,0.707,-11.741,0.036,149.523,1,6,0.023,4,32,6944746,Happy
Yedukondala Srinivasa,Ghanatasala,/artist/ghanatasala,03:17,Telugu,2024-05-01,0.82,0.03,0.768,0.317,-9.637,0.0334,140.034,1,1,0.02,4,83,7545581,Happy
Yevaru Neeperamma,P. Susheela,/artist/p-suseela-2,03:17,Telugu,2024-04-03,0.36,0.437,0.452,0.452,-4.829,0.0581,174.043,0,9,0.031,4,51,8323768,Sad
Ayyayyo Brahmayya,Ghanatasala,/artist/ghanatasala,03:24,Telugu,2024-04-02,0.48,0.135,0.571,0.411,-13.977,0.04,145.071,0,10,0.0631,4,68,1034629,Sad
Ambavu Neevamma,P. Susheela|L.R. Eswari,/artist/p-suseela-2|/artist/lr-eswari-2,06:08,Telugu,2024-04-02,0.97,0.25,0.307,0.533,-5.61,0.07,173.925,0,10,0.0745,4,69,9134471,Sad
Broche Varevaru (Duet),S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:27,Telugu,2024-04-02,0.65,0.968,0.426,0.135,-2.418,0.086,144.961,0,4,0.02,4,86,1178490,Sad
Bale Bale Bale Pellandi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,06:14,Telugu,2024-03-04,0.72,0.68,0.207,0.001,-13.186,0.026,173.999,1,0,0.012,4,51,5876360,Sad
Naa Ragame,P. Susheela,/artist/p-suseela-2,04:02,Telugu,2024-03-03,0.95,0.6,0.42,0.607,-4.261,0.0804,144.988,1,0,0.0693,4,36,10235695,Sad
Chitapata Chinukula Melam,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:31,Telugu,2024-02-04,0.26,0.333,0.46,0.571,-10.794,0.1,171.994,1,8,0.063,4,94,10636968,Sad
Doorana Neelimeghaalu,P. Susheela,/artist/p-suseela-2,03:53,Telugu,2024-02-03,0.81,0.31,0.259,0.885,-11.397,0.04,145.022,1,0,0.03,4,51,149148,Sad
Pondiraa Pondi,Ghanatasala,/artist/ghanatasala,03:53,Telugu,2024-02-03,0.68,0.867,0.749,0.156,-13.308,0.1,150.01,0,7,0.069,4,45,6045127,Sad
Padyams Kanchukota,Ghanatasala,/artist/ghanatasala,00:49,Telugu,2024-01-04,0.85,0.246,0.847,0.608,-10.717,0.07,170.019,1,7,0.08,4,62,6658670,Happy
Vana Jallu Kurisindhi,Jikki|Chorus,/artist/jikki|/artist/chorus,03:24,Telugu,2024-01-03,0.57,0.722,0.884,0.008,-13.49,0.09,140.023,1,4,0.011,4,97,8922436,Happy
Oh Priyathama,Mano|S.P.Sailaja,/artist/mano|/artist/spsailaja,04:48,Telugu,2024-01-03,0.95,0.97,0.14,0.328,-8.788,0.0609,174.038,0,0,0.0367,4,41,8332866,Sad
Andhenaa Ee Chethula,P. Susheela,/artist/p-suseela-2,03:09,Telugu,2024-01-02,0.05,0.48,0.143,0.513,-10.893,0.05,145.018,1,10,0.034,4,35,1860642,Sad
Gilli Kajjalu,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:05,Telugu,2023-12-12,0.28,0.865,0.242,0.7,-12.706,0.0631,150.021,1,0,0.0538,4,35,6283292,Sad
Saadhinchanauna Jagaana,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:53,Telugu,2023-12-09,0.71,0.15,0.553,0.509,-4.804,0.0526,174.988,1,9,0.0894,4,74,7142155,Happy
Adigindi Isthe,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:18,Telugu,2023-12-06,0.99,0.88,0.777,0.148,-10.485,0.042,145.016,0,11,0.0131,4,85,5704125,Happy
Maaria My Darling,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,05:01,Telugu,2023-12-06,0.12,0.075,0.633,0.657,-8.352,0.1,174.025,0,8,0.1,4,79,1500120,Happy
Ettu Ettu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:44,Telugu,2023-12-04,0.19,0.898,0.022,0.213,-8.493,0.0947,142.49,0,11,0.0656,4,88,5043623,Sad
Unnaavaa Asalunnaavaa,Ghanatasala,/artist/ghanatasala,03:16,Telugu,2023-12-04,0.6,0.21,0.974,0.179,-5.367,0.028,149.252,0,5,0.08,4,68,1906168,Happy
Endoru Maremdaru,P.B. Sreenivas,/artist/pb-sreenivas,03:07,Telugu,2023-12-04,0.16,0.613,0.166,0.686,-11.208,0.0128,175.01,0,7,0.09,4,50,10257616,Sad
Seetharama Kalyanam Harikatha,Ghanatasala,/artist/ghanatasala,06:31,Telugu,2023-12-03,0.98,0.89,0.419,0.013,-3.322,0.029,149.851,1,1,0.05,4,69,2921861,Sad
Bhama,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:24,Telugu,2023-12-03,0.19,0.13,0.747,0.884,-11.561,0.01,149.876,0,6,0.05,4,60,8462010,Happy
Ee Andhaniki,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,05:24,Telugu,2023-12-02,0.69,0.457,0.775,0.635,-8.491,0.03,150.028,0,1,0.03,4,46,3391359,Happy
Veyi Deepaalu Naalona,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:19,Telugu,2023-12-02,0.67,0.856,0.105,0.294,-4.37,0.065,145.015,0,8,0.0879,4,81,1618655,Sad
Naa Pata Vinuma,S. Janaki,/artist/s-janaki,04:38,Telugu,2023-11-12,0.48,0.168,0.842,0.873,-12.231,0.023,149.987,1,9,0.0,4,60,2931772,Happy
Adivaaram Arthangi,S. P. Balasubrahmanyam|S.P.Sailaja,/artist/s-p-balasubrahamanyam|/artist/spsailaja,04:47,Telugu,2023-11-09,0.83,0.52,0.431,0.812,-7.87,0.046,172.032,1,0,0.0395,4,80,8007773,Sad
Jayaya Jaya Bhadraya,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:13,Telugu,2023-11-09,0.14,0.768,0.718,0.306,-2.764,0.0876,139.989,1,1,0.0952,4,51,2934500,Happy
Mandu Yamma,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:49,Telugu,2023-11-08,0.77,0.648,0.445,0.702,-8.712,0.046,173.977,1,1,0.0298,4,81,9623745,Sad
Thandanaana,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:20,Telugu,2023-11-08,0.56,0.97,0.27,0.827,-2.0,0.04,150.089,1,8,0.0363,4,98,9104577,Sad
Neemanasu Naamanasu,V. Ramakrishna|P. Susheela,/artist/v-ramakrishna-2|/artist/p-suseela-2,03:22,Telugu,2023-11-07,0.81,0.17,0.128,0.052,-9.095,0.0599,174.982,1,1,0.0896,4,36,8225745,Sad
Oh Javaraala,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,03:48,Telugu,2023-11-07,0.15,0.54,0.447,0.387,-12.274,0.0715,147.865,0,11,0.075,4,94,1815751,Sad
Kay Raja Kay,S. Janaki,/artist/s-janaki,04:33,Telugu,2023-11-06,0.49,0.261,0.428,0.501,-7.008,0.0679,169.979,0,7,0.0794,4,77,10611834,Sad
Title Music - Telugu Film,Bhanumathi Ramakrishna|Madhavapeddi Satyam,/artist/bhanumathi-ramakrishna|/artist/madhavapeddi-satyam,02:04,Telugu,2023-11-05,0.68,0.002,0.776,0.569,-7.7,0.06,150.017,0,5,0.06,4,97,5331689,Happy
Kalamaina,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:40,Telugu,2023-11-04,0.49,0.74,0.048,0.566,-11.835,0.0022,150.025,1,1,0.0437,4,79,7533154,Sad
Doravayasu Chinnadhi,P. Susheela|S. P. Balasubrahmanyam,/artist/p-suseela-2|/artist/s-p-balasubrahamanyam,03:43,Telugu,2023-11-04,0.4,0.35,0.299,0.788,-3.726,0.038,145.069,1,1,0.1,4,52,9232748,Sad
Madhu Masavelalo,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:24,Telugu,2023-11-03,0.14,0.61,0.018,0.446,-2.609,0.026,144.876,0,2,0.073,4,31,5134408,Sad
Thaarangam Thaarangam,P. Susheela,/artist/p-suseela-2,04:36,Telugu,2023-11-03,0.76,0.622,0.606,0.522,-3.702,0.033,174.966,0,8,0.021,4,90,6407253,Sad
Kanugotini,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,50:36:00,Telugu,2023-11-03,0.71,0.316,0.278,0.785,-6.766,0.0703,174.016,0,10,0.0745,4,43,11211372,Sad
Akkum Bakkum,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:06,Telugu,2023-11-02,0.92,0.59,0.851,0.923,-12.466,0.05,173.989,1,6,0.0135,4,46,10338378,Happy
Om Sai Gajavadana,Vanijayaram,/artist/vanijayaram-1,02:51,Telugu,2023-11-01,0.14,0.932,0.165,0.191,-6.337,0.08,174.974,1,2,0.036,4,77,8941878,Sad
Poddu Vaalipoyaaka,P. Susheela,/artist/p-suseela-2,04:29,Telugu,2023-11-01,0.1,0.95,0.645,0.767,-2.725,0.011,140.03,0,5,0.0094,4,63,6358608,Sad
Puttadi Bomma Purnamma (Part-Ii),V.Rama Krishna|Latha Rani|Pushpalatha,/artist/vrama-krishna|/artist/latha-rani|/artist/pushpalatha,14:11,Telugu,2023-11-01,0.37,0.748,0.937,0.095,-8.56,0.041,141.11,1,1,0.033,4,32,8525595,Sad
Nithya Sumangali,P. Susheela,/artist/p-suseela-2,03:16,Telugu,2023-10-12,0.41,0.413,0.07,0.623,-8.256,0.0926,170.015,0,10,0.083,4,97,3070716,Sad
Emi Raama Katha (Male),P.B. Sreenivas,/artist/pb-sreenivas,02:33,Telugu,2023-10-09,0.39,0.318,0.69,0.34,-2.898,0.02,173.978,0,11,0.1,4,73,1841323,Happy
Emi Raama Katha,P.B. Sreenivas|P. Susheela,/artist/pb-sreenivas|/artist/p-suseela-2,05:36,Telugu,2023-10-07,0.08,0.9,0.228,0.61,-9.402,0.01,174.032,1,7,0.074,4,97,4612695,Sad
Gotikaada Guntenakka,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,02:33,Telugu,2023-10-04,0.97,0.955,0.991,0.139,-10.829,0.004,140.004,1,7,0.0225,4,36,8945807,Sad
Naa Hrudayam,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:13,Telugu,2023-10-03,0.84,0.39,0.767,0.211,-8.014,0.084,150.054,1,2,0.03,4,55,5929322,Happy
Kanugontini,V. Ramakrishna,/artist/v-ramakrishna-2,04:46,Telugu,2023-10-01,0.36,0.444,0.133,0.831,-6.601,0.074,173.005,0,10,0.0752,4,50,7200463,Sad
Vijetha (Full Length Audio Cinema),S. P. Balasubrahmanyam|S. Janaki|Others,/artist/s-p-balasubrahamanyam|/artist/s-janaki|/artist/others,02:20:03,Telugu,2023-10-01,0.64,0.673,0.855,0.464,-8.74,0.061,147.846,1,2,0.061,4,81,6992377,Happy
Noorellu Vuntanu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:22,Telugu,2023-09-11,0.8,0.52,0.494,0.389,-13.195,0.011,173.989,1,11,0.09,4,72,10720944,Sad
Choodara Nanna Ee Lokam,Ghanatasala|N.T. Rama Rao,/artist/ghanatasala|/artist/nt-rama-rao-12,05:41,Telugu,2023-09-09,0.99,0.0,0.003,0.066,-11.606,0.0886,150.031,0,9,0.0943,4,80,1508523,Sad
Ayyayya Aeisapaisa,P. Susheela,/artist/p-suseela-2,04:15,Telugu,2023-09-07,0.46,0.639,0.334,0.465,-10.117,0.002,145.008,0,11,0.08,4,81,4005563,Sad
Je Jela Talliki,P. Susheela|B. Vasantha,/artist/p-suseela-2|/artist/b-vasantha-1,04:26,Telugu,2023-09-07,0.52,0.11,0.017,0.845,-7.989,0.02,173.008,0,10,0.08,4,42,8353929,Sad
Yevaro Raavaali,P. Susheela,/artist/p-suseela-2,04:21,Telugu,2023-09-07,0.85,0.99,0.802,0.962,-5.784,0.0833,149.926,0,1,0.049,4,36,6147245,Happy
Yevaree Chakkanivadu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:35,Telugu,2023-09-06,0.61,0.557,0.951,0.872,-2.97,0.04,150.106,0,1,0.039,4,87,7222020,Happy
Sri Raghu Rama,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:36,Telugu,2023-09-05,0.76,0.991,0.314,0.7,-9.877,0.0342,140.03,1,4,0.0309,4,56,425216,Sad
Alakalu Theerina Kannulu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:52,Telugu,2023-09-05,0.26,0.19,0.002,0.36,-9.162,0.0,171.987,0,11,0.073,4,61,8234123,Sad
Oka Kavi Ninukani,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,04:19,Telugu,2023-09-03,0.35,0.65,0.587,0.681,-6.654,0.03,150.022,1,11,0.022,4,53,10723236,Sad
Salaamalekum,Ghanatasala|S. Janaki,/artist/ghanatasala|/artist/s-janaki,03:13,Telugu,2023-09-03,0.57,0.097,0.662,0.617,-4.712,0.0328,149.982,1,1,0.02,4,70,11079652,Happy
Madana Gopaludu Madana Gopaludu,S. P. Balasubrahmanyam|Mano,/artist/s-p-balasubrahamanyam|/artist/mano,04:12,Telugu,2023-09-02,0.3,0.197,0.869,0.07,-12.832,0.0706,174.961,1,1,0.092,4,82,7224662,Happy
Nuvvu Nenu Sagam Sagam,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:27,Telugu,2023-09-02,0.69,0.85,0.425,0.643,-10.217,0.0993,174.011,1,1,0.081,4,35,4613218,Sad
Choochi Valachi,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:48,Telugu,2023-09-01,0.32,0.08,0.464,0.675,-9.356,0.06,149.263,1,1,0.1,4,56,4069103,Sad
Yevaroo Leni Chota,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:28,Telugu,2023-09-01,0.89,0.09,0.465,0.41,-4.001,0.0096,149.943,0,9,0.0507,4,63,4186665,Happy
Pampa Vaasa,K. Veeramani,/artist/k-veeramani-1,05:00,Telugu,2023-08-12,0.91,0.88,0.57,0.048,-6.3,0.038,149.99,0,5,0.03,4,73,4344565,Sad
Needanda Bada,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:24,Telugu,2023-08-10,0.0,0.968,0.183,0.727,-3.187,0.0969,149.49,1,3,0.0025,4,28,10329215,Sad
Manase Vikasinchera,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:36,Telugu,2023-08-10,0.59,0.894,0.434,0.03,-11.405,0.034,174.045,1,8,0.0916,4,99,102711,Sad
Manasa Sanchra Re,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,01:49,Telugu,2023-08-10,0.78,0.393,0.354,0.835,-3.935,0.09,149.909,1,2,0.08,4,25,6891442,Sad
Sree Rama Nee Nama,M. Balamuralikrishna,/artist/m-balamuralikrishna-1,02:12,Telugu,2023-08-10,0.67,0.73,0.337,0.983,-12.767,0.0118,143.326,1,6,0.05,4,31,1659465,Sad
Nemaliki Nerpina,S. Janaki,/artist/s-janaki,04:47,Telugu,2023-08-08,0.06,0.47,0.924,0.811,-2.233,0.068,144.976,1,1,0.0262,4,82,11107462,Happy
Jeevama,Madhavapeddi Ramesh|P. Susheela,/artist/madhavapeddi-ramesh|/artist/p-suseela-2,04:04,Telugu,2023-08-04,0.17,0.82,0.808,0.425,-11.365,0.02,149.951,0,5,0.085,4,43,2472606,Sad
Allaneredu Chettu Kaada,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,03:18,Telugu,2023-08-02,0.74,0.7,0.258,0.949,-9.805,0.07,140.07,1,1,0.0802,4,48,1547325,Sad
Navvutho Brathakaalira,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:05,Telugu,2023-08-01,0.88,0.246,0.802,0.654,-10.709,0.077,150.013,0,8,0.0599,4,26,1833369,Happy
Mavooru Madarasu,L.R. Eswari|Padmanabam,/artist/lr-eswari-2|/artist/padmanabam-1,04:08,Telugu,2023-07-11,0.72,0.13,0.879,0.323,-2.464,0.07,150.026,1,10,0.019,4,78,4561335,Energetic
(Slogam) Degameera Drvalayam,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,07:17,Telugu,2023-07-10,0.33,0.23,0.659,0.774,-10.737,0.025,150.008,1,1,0.06,4,88,4289237,Happy
Moogaina Hridayama,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:23,Telugu,2023-07-09,0.7,0.471,0.145,0.304,-3.761,0.057,137.995,0,11,0.06,4,86,6309700,Sad
"Arunam Karunnantha, Yaa Devi Madhukitabha, Yaa Devi Sarvabhuteshu?????????astaa Dasapeeta Samkeerthana, Kshamaa Pa Raa Dhanaa Stotra",PARUPALLI RANGNATH,/artist/parupalli-rangnath,42:58:00,Telugu,2023-07-05,0.26,0.548,0.78,0.642,-3.092,0.081,173.956,0,11,0.097,4,76,7716795,Happy
Film Story and Songs Part 3,Various Artist,/artist/various-artist,29:07:00,Telugu,2023-07-04,0.43,0.88,0.108,0.642,-9.816,0.086,145.007,1,5,0.05,4,29,5530916,Sad
Hellow Nuissance,P Suhseela|S. P. Balasubrahmanyam,/artist/p-suhseela|/artist/s-p-balasubrahamanyam,03:17,Telugu,2023-07-03,0.64,0.43,0.24,0.514,-7.55,0.024,174.015,1,0,0.04,4,29,9781749,Sad
Nadu Prema Bhagyarasi,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:23,Telugu,2023-06-02,0.36,0.42,0.521,0.834,-6.15,0.08,155.368,0,1,0.01,4,39,2795662,Sad
Kalahamsa Nadakadaana,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:03,Telugu,2023-06-02,0.34,0.754,0.844,0.897,-8.955,0.09,140.075,1,1,0.03,4,58,1503417,Happy
Ikkada Vaade,P. Susheela,/artist/p-suseela-2,03:55,Telugu,2023-06-01,0.76,0.016,0.198,0.607,-13.685,0.0554,174.025,0,5,0.025,4,47,3692452,Sad
Nandana Vanilo,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:13,Telugu,2023-05-12,0.08,0.404,0.937,0.507,-3.03,0.0315,174.029,0,4,0.0853,4,84,5856776,Happy
Prathi Reyi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:39,Telugu,2023-05-12,0.61,0.085,0.816,0.389,-6.23,0.07,160.063,0,11,0.071,4,67,1311352,Energetic
Raavamma Mahalakshmi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,05:05,Telugu,2023-05-11,0.68,0.94,0.1,0.708,-6.547,0.0003,145.043,1,8,0.02,4,56,2146485,Sad
Ayyayo Brahmayya,Ghanatasala,/artist/ghanatasala,04:57,Telugu,2023-05-09,0.31,0.714,0.829,0.962,-8.375,0.09,148.01,1,1,0.0698,4,81,6719612,Happy
Banginapalli,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:12,Telugu,2023-05-09,0.02,0.813,0.252,0.331,-10.128,0.0275,149.954,1,1,0.09,4,98,8924434,Sad
Maa Intiki,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:16,Telugu,2023-05-08,0.38,0.07,0.963,0.579,-12.301,0.026,170.114,0,10,0.007,4,45,4902095,Energetic
Pampara Panasa,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:27,Telugu,2023-05-06,0.76,0.361,0.848,0.716,-5.104,0.0478,145.158,1,9,0.02,4,30,6666150,Happy
Kum Kummanthine,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:00,Telugu,2023-05-05,0.59,0.744,0.946,0.5,-10.285,0.028,150.076,1,8,0.0077,4,97,4261034,Sad
Kannukotte Vade,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:40,Telugu,2023-05-04,0.58,0.495,0.014,0.382,-12.85,0.0825,149.827,1,11,0.0143,4,70,4387729,Sad
Anaraade Baala,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:09,Telugu,2023-05-04,0.6,0.49,0.158,0.229,-13.324,0.036,173.038,0,1,0.03,4,87,2733064,Sad
Chenguna Alameeda,M.S. Rama Rao,/artist/ms-rama-rao-40,02:19,Telugu,2023-05-03,0.02,0.04,0.887,0.75,-5.29,0.017,149.998,0,10,0.092,4,61,6939888,Energetic
Vennelra,S. P. Balasubrahmanyam|Mano,/artist/s-p-balasubrahamanyam|/artist/mano,04:31,Telugu,2023-05-03,0.01,0.7,0.516,0.133,-4.442,0.0838,174.001,0,8,0.07,4,75,11315635,Sad
Puttina Roju Panduge,P. Susheela,/artist/p-suseela-2,03:31,Telugu,2023-05-02,0.06,0.66,0.005,0.707,-4.153,0.0112,144.954,0,6,0.0109,4,60,8528815,Sad
Telisindile Telisindile,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:37,Telugu,2023-04-11,0.38,0.5,0.2,0.806,-7.361,0.0898,146.986,1,7,0.1,4,71,10746296,Sad
Sri Rama Chandra,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:06,Telugu,2023-04-11,0.63,0.345,0.905,0.512,-4.892,0.057,171.983,1,10,0.08,4,33,6010008,Energetic
Aamani Velaku,S.Ramachandhran,/artist/sramachandhran,05:39,Telugu,2023-04-09,0.09,0.085,0.725,0.267,-8.868,0.0279,144.994,0,10,0.05,4,77,10432778,Happy
Vooru Maarina,Ghanatasala,/artist/ghanatasala,03:07,Telugu,2023-04-08,0.37,0.752,0.781,0.412,-5.05,0.03,139.705,1,2,0.064,4,37,4346408,Sad
