song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Naam Par Unke Liye To,Siddiq Ismail,/artist/siddiq-ismail,0.0,Urdu,2000-03-09,0.54,0.135,0.352,0.812,-8.27,0.08,199.86,1,7,0.0229,4,94,160810,0,0,0,Sad
Na Rawa Kahiye (Live),Farida Khanum,/artist/farida-khanum,0.0,Urdu,2000-03-12,0.2,0.608,0.032,0.767,-12.839,0.0539,181.938,1,1,0.073,4,48,9538441,0,0,0,Sad
Jab Rang Mein,Tina Sani,/artist/tina-sani,0.0,Urdu,2000-04-01,0.75,0.6,0.5,0.01,-11.875,0.02,114.873,1,11,0.0166,4,54,5400150,0,0,0,Sad
Mere Nazneen Tum Mujhe Bhool Jana,Ustad Ali Ahmed Hussain|Mohd. Hussain|Chorus,/artist/ustad-ali-ahmed-hussain|/artist/mohd-hussain|/artist/chorus,0.0,Urdu,2000-04-07,0.23,0.32,0.6,0.06,-13.067,0.03,130.826,1,1,0.013,4,70,1760434,0,0,0,Sad
Aashiyane Ki Baat,Noor Jehan,/artist/noor-jehan,0.0,Urdu,2000-04-10,0.84,0.146,0.625,0.285,-7.08,0.01,195.534,1,0,0.081,4,32,9442968,0,0,0,Sad
Chali Re Chali Re,Musarrat Nazir,/artist/musarrat-nazir,0.0,Urdu,2000-04-11,0.32,0.83,0.6,0.01,-2.912,0.04,119.974,1,8,0.0992,4,88,1948009,0,0,0,Sad
Mera Pyar Har Gaya,Zubaida Khanum,/artist/zubaida-khanum,0.0,Urdu,2000-05-03,0.85,0.169,0.236,0.372,-9.003,0.02,141.95,1,2,0.084,4,65,5152484,0,0,0,Sad
Jaunpuri - Teen Taal,Roshan Ara Begum,/artist/roshan-ara-begum,0.0,Urdu,2000-05-04,0.11,0.83,0.7,0.25,-3.667,0.01,158.926,1,1,0.08,4,85,7042277,0,0,0,Energetic
Mahen Saiyam Hai,Shabbir Kumar,/artist/shabbir-kumar,0.0,Urdu,2000-05-04,0.41,0.78,0.9,0.23,-4.952,0.022,147.398,1,9,0.074,4,71,1304292,0,0,0,Energetic
Mangte Hain Karam Unka,Nusrat Fateh Ali Khan,/artist/nusrat-fateh-ali-khan,0.0,Urdu,2000-05-06,0.67,0.4,0.497,0.139,-5.284,0.01,139.948,1,0,0.0969,4,50,10375545,0,0,0,Sad
Raag Piloo On Flute,Saeen Ditta Qadri,/artist/saeen-ditta-qadri,0.0,Urdu,2000-05-07,0.58,0.796,0.09,0.508,-9.522,0.0048,133.96,1,7,0.038,4,76,4141248,0,0,0,Sad
Na Shaq E Vasl Ka Dawa,Mohammed Rafi,/artist/mohammad-rafi,0.0,Urdu,2000-05-07,0.64,0.229,0.224,0.875,-4.421,0.098,143.026,1,8,0.02,4,29,477806,0,0,0,Sad
Kitne Zakhmon Ko,Mehdi Hassan,/artist/mehdi-hassan,0.0,Urdu,2000-05-08,0.07,0.96,0.5,0.04,-12.16,0.05,122.429,0,7,0.09,4,57,6352626,0,0,0,Sad
Nazan Hai Jis Pe Husn,Sabri Brothers,/artist/sabri-brothers,0.0,Urdu,2000-05-10,0.43,0.52,0.21,0.39,-10.062,0.08,119.01,1,2,0.07,4,97,8546906,0,0,0,Sad
Khayal-o-Khawab Hui,Runa Laila,/artist/runa-laila,0.0,Urdu,2000-05-10,0.51,0.001,0.66,0.493,-11.977,0.0481,125.014,0,4,0.0855,4,64,1852494,0,0,0,Energetic
Apni Tasveer Ko Aankhon (Live),Ghulam Ali,/artist/ghulam-ali,0.0,Urdu,2000-05-12,0.55,0.39,0.4,0.49,-7.671,0.0901,180.268,1,8,0.041,4,47,4701186,0,0,0,Sad
Dard-E-Dil Dard-E-Aashna,Ghulam Ali,/artist/ghulam-ali,0.0,Urdu,2000-06-03,0.08,0.82,0.0,0.12,-8.619,0.0691,151.23,0,5,0.07,4,31,2253908,0,0,0,Sad
More Ajmeri Khwaja,Arzoo Bano,/artist/arzoo-bano,0.0,Urdu,2000-06-07,0.25,0.338,0.913,0.21,-3.528,0.07,147.975,1,1,0.071,4,73,7678576,0,0,0,Energetic
Nayi Log Honge,Iqbal Ahmed Siddiqi|Vandana Bajpeyie,/artist/iqbal-ahmed-siddiqi|/artist/vandana-bajpeyie,0.0,Urdu,2000-06-07,0.92,0.97,0.0,0.89,-8.984,0.033,170.091,1,1,0.089,4,95,10842792,0,0,0,Sad
"Pyasa Tha Jeevan Mera (From  ""Naraaz"" )",Mohd Ali Shyhaki|Nahid Akhtar,/artist/mohd-ali-shyhaki-1|/artist/nahid-akhtar,0.0,Urdu,2000-06-08,0.11,0.42,0.3,0.83,-4.155,0.0382,190.069,0,9,0.061,4,42,3526250,0,0,0,Sad
Ghuncha-E-Shauq Laga,Mehdi Hassan,/artist/mehdi-hassan,0.0,Urdu,2000-07-02,0.31,0.572,0.098,0.913,-13.436,0.009,161.02,0,8,0.034,4,71,3131201,0,0,0,Sad
Sakal Ban Phool Rahi Sarson,Sabri Brothers,/artist/sabri-brothers,0.0,Urdu,2000-07-06,0.26,0.5,0.2,0.28,-4.651,0.02,115.023,0,6,0.055,4,79,2050666,0,0,0,Sad
Kash Mein Kabhi Kabhi,Asad Amanat Ali,/artist/asad-amanat-ali,0.0,Urdu,2000-07-06,0.95,0.015,0.076,0.494,-13.75,0.01,140.06,0,1,0.096,4,92,2766806,0,0,0,Sad
Nazash Koun Makan,Muneeba Sheikh,/artist/muneeba-sheikh,0.0,Urdu,2000-08-08,0.81,0.86,0.65,0.11,-3.046,0.02,129.959,1,4,0.021,4,81,3647240,0,0,0,Happy
Woh Kehte Hain Ranjish Ke Baaten Bhuladen,Malika Pukhraj,/artist/malika-pukhraj,0.0,Urdu,2000-08-09,0.81,0.589,0.825,0.881,-2.378,0.088,113.984,1,6,0.08,4,90,4945703,0,0,0,Happy
Gali Gali Meri Yaad Bichi,Mehdi Hassan,/artist/mehdi-hassan,0.0,Urdu,2000-08-09,0.29,0.826,0.536,0.368,-6.201,0.047,159.897,0,11,0.0476,4,64,8176018,0,0,0,Sad
Es Tere Sar Ki Qasam - Part 1,Aziz Miyan Qawwal,/artist/aziz-miyan-qawwal,0.0,Urdu,2000-08-10,0.31,0.909,0.367,0.745,-8.734,0.076,168.825,1,8,0.043,4,26,932228,0,0,0,Sad
Kali Mere Dil Ki,Saeed Hashmi,/artist/saeed-hashmi,0.0,Urdu,2000-08-11,0.5,0.62,0.05,0.27,-7.384,0.0044,150.038,1,8,0.0745,4,48,2904562,0,0,0,Sad
Projapati Projapati,Feroza Begum,/artist/feroza-begum,0.0,Urdu,2000-09-03,0.18,0.36,1.0,0.4,-12.025,0.072,129.903,0,5,0.012,4,33,2423802,0,0,0,Happy
Abhogi Kanra,Ustad Salamat Ali Khan,/artist/ustad-salamat-ali-khan,0.0,Urdu,2000-09-04,0.59,0.03,0.97,0.65,-8.838,0.03,120.039,1,1,0.0133,4,79,8448908,0,0,0,Happy
Raag Karwani,Ustad Sharif Khan,/artist/ustad-sharif-khan,0.0,Urdu,2000-09-07,0.03,0.978,0.027,0.667,-10.528,0.062,119.979,0,0,0.06,4,70,1559288,0,0,0,Sad
Haq Maujood,Muzaffar Warisi,/artist/muzaffar-warisi,0.0,Urdu,2000-09-12,0.02,0.496,0.516,0.26,-7.167,0.021,140.017,0,11,0.0144,4,49,4132953,0,0,0,Sad
Madeene Mein Thaherne Ka,Shankar Shambhu Qawwal|Chorus,/artist/shankar-shambhu-qawwal-76|/artist/chorus,0.0,Urdu,2000-09-12,0.85,0.57,0.5,0.94,-5.326,0.0691,134.039,0,2,0.099,4,35,2174638,0,0,0,Happy
Babli Tumne Kaha Tha,M.Javed|Saima Khalid|Zahida Khan,/artist/mjaved|/artist/saima-khalid|/artist/zahida-khan,0.0,Urdu,2000-10-03,0.41,0.242,0.965,0.24,-9.842,0.09,114.819,1,9,0.09,4,62,10714288,0,0,0,Happy
Dil E Nadaan Tujhe Hua Kya Hai,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,0.0,Urdu,2000-10-04,0.6,0.07,0.7,0.41,-8.666,0.03,156.985,1,5,0.06,4,65,7920671,0,0,0,Happy
Kisko Khabar Hai Kal Kya Hoga,Pralhad Shinde|Chorus,/artist/pralhad-shinde-1|/artist/chorus,0.0,Urdu,2000-10-05,0.16,0.08,0.9,0.27,-13.447,0.05,159.908,1,1,0.01,4,67,1670191,0,0,0,Energetic
Main Yunhi Tanha Tumhen,Runa Laila,/artist/runa-laila,0.0,Urdu,2000-11-04,0.8,0.49,0.9,0.05,-8.668,0.053,119.915,1,0,0.083,4,62,8647944,0,0,0,Happy
Log Dil Ko Nahin Chehron Ko Padha Karte Hain,Vani Jairam|Chorus,/artist/vani-jayaram|/artist/chorus,0.0,Urdu,2000-11-05,0.27,0.02,0.6,0.06,-4.427,0.0,122.75,1,5,0.023,4,83,123670,0,0,0,Sad
Ek Saagar Lakhon Paimane,Gaurav Chopra,/artist/gaurav-chopra-5,0.0,Urdu,2000-11-09,0.4,0.644,0.524,0.236,-10.979,0.066,129.988,0,6,0.09,4,70,6193068,0,0,0,Sad
Tujhe Mele Mein Sab Dekhenge Mela Kaun Dekhega,Munawar Ali Khan|Yusuf Azad Qawwal,/artist/munawar-ali|/artist/yusuf-azad-qawwal,0.0,Urdu,2000-11-11,0.48,0.66,0.4,0.09,-11.541,0.06,187.742,1,1,0.0175,4,56,6294253,0,0,0,Sad
Ho Nigahe Karam Ya Mohd,Mohammad Saeed|Others,/artist/mohammad-saeed|/artist/others,0.0,Urdu,2000-12-05,0.51,0.889,0.257,0.917,-5.977,0.0361,138.034,1,1,0.056,4,45,2289543,0,0,0,Sad
Chopaye The Tailor,M.Javed|Saima Khalid|Zahida Khan,/artist/mjaved|/artist/saima-khalid|/artist/zahida-khan,0.0,Urdu,2000-12-07,0.41,0.955,0.806,0.873,-5.156,0.09,152.916,1,8,0.095,4,51,7375662,0,0,0,Energetic
Dil Dharkne Ka,Noor Jehan,/artist/noor-jehan,0.0,Urdu,2000-12-11,0.95,0.715,0.122,0.633,-4.357,0.018,219.984,1,1,0.0296,4,100,5797536,0,0,0,Sad
Gujri Todi,Ustad Ghulam Hussain Shaggan,/artist/ustad-ghulam-hussain-shaggan,0.0,Urdu,2001-01-02,0.27,0.688,0.998,0.921,-10.344,0.09,200.06,1,9,0.002,4,62,1722184,0,0,0,Happy
Yahan Se Chala Gaya Kotwal,Habib Painter Qawwal|Chorus,/artist/habib-painter-qawwal|/artist/chorus,0.0,Urdu,2001-01-03,0.94,0.74,0.5,0.13,-12.324,0.07,115.044,1,6,0.0949,4,45,426118,0,0,0,Sad
Lalit-Pancham - Teen Taal,Ustad Umrao Bundu khan,/artist/ustad-umrao-bundu-khan,0.0,Urdu,2001-01-05,0.95,0.719,0.71,0.484,-4.691,0.0647,120.077,1,4,0.084,4,38,6500640,0,0,0,Happy
Chalo Sharab Peeyen,Raees Khan,/artist/raees-khan,0.0,Urdu,2001-01-06,0.16,0.53,0.6,0.66,-5.822,0.08,143.796,1,1,0.01,4,84,5256619,0,0,0,Energetic
Chaturang,Mehdi Hassan,/artist/mehdi-hassan,0.0,Urdu,2001-01-07,0.48,0.755,0.24,0.201,-13.479,0.08,119.994,1,8,0.091,4,77,10626264,0,0,0,Sad
Ibn-e-Maryam Huwa Kare Koi,Nighat Akbar,/artist/nighat-akbar,0.0,Urdu,2001-01-09,0.94,0.261,0.789,0.992,-11.979,0.0254,113.041,1,10,0.0537,4,28,3832853,0,0,0,Sad
Kiya Mujh Ishq Ne,Malika Pukhraj,/artist/malika-pukhraj,0.0,Urdu,2001-01-09,0.76,0.26,0.59,0.144,-3.523,0.04,168.028,1,5,0.003,4,36,11357668,0,0,0,Energetic
Tere Pyar Mein Ruswa (Live),Farida Khanum,/artist/farida-khanum,0.0,Urdu,2001-01-10,0.8,0.447,0.097,0.765,-13.356,0.06,219.944,1,5,0.03,4,87,6668712,0,0,0,Sad
Mujhe Tum Mil Gaye,Mehnaz|Mehdi Hassan,/artist/mehnaz|/artist/mehdi-hassan,0.0,Urdu,2001-01-11,0.91,0.315,0.072,0.316,-6.375,0.095,159.956,1,2,0.07,4,81,1111068,0,0,0,Sad
Koi Na Jane,Noor Jehan,/artist/noor-jehan,0.0,Urdu,2001-01-12,0.59,0.55,0.87,0.48,-7.359,0.042,219.934,0,11,0.09,4,48,7056817,0,0,0,Happy
Garmiye Hasrat-e-Nakam Se (Live),Mehdi Hassan,/artist/mehdi-hassan,0.0,Urdu,2001-02-02,0.79,0.8,0.3,0.68,-2.82,0.06,128.063,1,6,0.09,4,67,5275400,0,0,0,Sad
Dulhan Bani Hai Raat,Talat Aziz,/artist/talat-aziz,0.0,Urdu,2001-02-02,0.71,0.02,0.8,0.37,-3.184,0.091,145.005,1,2,0.08,4,37,1670799,0,0,0,Energetic
Allah Re Yeh Shan,Maqsood Ahmed Niazi,/artist/maqsood-ahmed-niazi,0.0,Urdu,2001-02-03,0.48,0.095,0.823,0.129,-8.303,0.089,220.044,1,11,0.03,4,52,5953965,0,0,0,Happy
Ae Qafle Walo,Talat Aziz,/artist/talat-aziz,0.0,Urdu,2001-02-03,0.2,0.138,0.454,0.828,-10.382,0.0396,153.028,1,0,0.0151,4,52,10256904,0,0,0,Sad
Ajmer Jane Ki Tamanna Hai (Live),Sabri Brothers,/artist/sabri-brothers,0.0,Urdu,2001-02-06,0.72,0.4,0.692,0.983,-13.107,0.09,210.012,1,8,0.096,4,79,2593850,0,0,0,Happy
Agar Fursat Ke Sadme,Nusrat Fateh Ali Khan,/artist/nusrat-fateh-ali-khan,0.0,Urdu,2001-02-07,0.18,0.73,0.8,0.03,-3.407,0.046,130.013,1,6,0.0456,4,89,4847314,0,0,0,Energetic
Aasman Se Utara Gaya,Munni Begum,/artist/munni-begum,0.0,Urdu,2001-02-11,0.41,0.856,0.592,0.416,-6.048,0.04,119.999,0,11,0.1,4,39,4185715,0,0,0,Sad
Saiyyan Ji Ko Dhoondne,Arifa Siddiqi,/artist/arifa-siddiqi,0.0,Urdu,2001-02-11,0.5,0.36,0.8,0.65,-9.871,0.07,113.005,1,2,0.0934,4,32,6000551,0,0,0,Energetic
Kabhi Mein Kabhi Tum,Runa Laila,/artist/runa-laila,0.0,Urdu,2001-03-02,0.12,0.79,0.2,0.1,-7.643,0.01,192.07,0,11,0.0646,4,59,11174920,0,0,0,Sad
Tum Bhi Piyo Ham Bhi Piyen,Bhupinder Singh,/artist/bhupinder-singh,0.0,Urdu,2001-03-04,0.07,0.541,0.126,0.476,-9.489,0.014,148.472,0,4,0.0012,4,26,8808562,0,0,0,Sad
Babul Mora Nehar Chhuth Hi Jaye,Jagjit Singh|Chitra Singh,/artist/jagjeet-singh-1|/artist/chitra-singh,0.0,Urdu,2001-03-05,0.11,0.138,0.467,0.312,-8.142,0.0134,190.046,0,4,0.084,4,36,8155209,0,0,0,Sad
Raag Jay Jay Vanti,Munawar Ali Khan,/artist/munawar-ali-khan,0.0,Urdu,2001-03-08,0.86,0.38,0.1,0.64,-3.04,0.02,149.928,1,2,0.0368,4,56,3799197,0,0,0,Sad
Khwaja Ji Ki Basti Mein,Shamim|Naeim Ajmeri,/artist/shamim|/artist/naeim-ajmeri,0.0,Urdu,2001-03-12,0.41,0.27,0.7,0.08,-11.157,0.0256,116.914,1,1,0.088,4,69,3879032,0,0,0,Sad
Qurban Main Unki,Khursheed Ahmed,/artist/khursheed-ahmed,0.0,Urdu,2001-03-12,0.53,0.046,0.04,0.371,-6.577,0.08,159.928,0,6,0.051,4,93,11357474,0,0,0,Sad
Parbaton Ke Pedon Par Sham Ka Basera,Mohammed Rafi|Suman Kalyanpur,/artist/mohammad-rafi|/artist/suman-kalyanpur,0.0,Urdu,2001-04-01,0.03,0.112,0.779,0.101,-4.839,0.0779,173.799,0,5,0.26,4,86,7503385,0,0,0,Energetic
Rind Jo Mujhko,Jagjit Singh|Chitra Singh,/artist/jagjeet-singh-1|/artist/chitra-singh,0.0,Urdu,2001-04-01,0.17,0.901,0.885,0.704,-8.339,0.04,164.074,0,1,0.0341,4,96,6446003,0,0,0,Energetic
Gazal -Raga- Malkosh,Begum Mehtab Taji,/artist/begum-mehtab-taji,0.0,Urdu,2001-04-04,0.25,0.28,0.2,0.09,-8.379,0.01,134.964,1,1,0.078,4,25,2578134,0,0,0,Sad
Allah Maaf Kare,Noor Jehan,/artist/noor-jehan,0.0,Urdu,2001-04-05,0.03,0.446,0.446,0.032,-5.875,0.074,129.986,1,8,0.07,4,98,6390327,0,0,0,Sad
Dil To Kya Cheez Hai,Nahid Akhtar,/artist/nahid-akhtar,0.0,Urdu,2001-04-06,0.07,0.227,0.276,0.7,-5.557,0.0724,200.286,0,10,0.0674,4,48,2088686,0,0,0,Sad
Dil Men Dard Shah-e-Kaunen,Saeed Hashmi,/artist/saeed-hashmi,0.0,Urdu,2001-04-08,0.66,0.949,0.46,0.096,-10.557,0.06,158.048,1,2,0.06,4,97,11200841,0,0,0,Sad
Tune O Rangeele,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Urdu,2001-04-09,0.24,0.8,0.426,0.135,-12.836,0.0872,129.988,1,3,0.0895,4,97,983847,0,0,0,Sad
Yeh Mujhko Kaun Bulata Hai,Nahid Akhtar,/artist/nahid-akhtar,0.0,Urdu,2001-04-09,0.51,0.06,0.9,0.25,-6.909,0.0716,150.07,1,8,0.08,4,68,8101385,0,0,0,Energetic
Janbaaz Hain Hum,Tahir Saqi|Sajjad Akram|Aamir Munawwar,/artist/tahir-saqi|/artist/sajjad-akram|/artist/aamir-munawwar,0.0,Urdu,2001-04-10,0.22,0.945,0.16,0.657,-9.607,0.045,119.984,1,8,0.0,4,99,4424376,0,0,0,Sad
Catch Me If You Can,Nahid Akhtar,/artist/nahid-akhtar,0.0,Urdu,2001-04-11,0.57,0.686,0.274,0.203,-4.261,0.004,125.959,1,9,0.033,4,69,10152864,0,0,0,Sad
"Kehta Kali Das, Pt. 2",Alam Lohar,/artist/alam-lohar,0.0,Urdu,2001-04-12,0.79,0.14,0.0,0.82,-9.595,0.007,154.996,1,8,0.083,4,46,8659984,0,0,0,Sad
Raag Gujri,Ustad Bismillah Khan,/artist/ustad-bismillah-khan,0.0,Urdu,2001-05-01,0.42,0.2,0.6,0.95,-3.713,0.06,152.109,0,10,0.0214,4,26,500126,0,0,0,Sad
Bharva - Jhaptaal,Ustad Salamat Ali Khan,/artist/ustad-salamat-ali-khan,0.0,Urdu,2001-05-01,0.84,0.177,0.141,0.472,-9.265,0.089,117.003,1,11,0.091,4,90,6069823,0,0,0,Sad
Marne Ki Duaein,Shruti Sadolikar,/artist/shruti-sadolikar,0.0,Urdu,2001-05-03,0.93,0.18,0.7,0.91,-4.814,0.02,121.987,0,4,0.073,4,57,11076515,0,0,0,Happy
Ram Kare Kahin (Thumri),Iqbal Bano,/artist/iqbal-bano,0.0,Urdu,2001-05-03,0.43,0.877,0.669,0.057,-5.461,0.045,153.958,1,7,0.061,4,48,6851088,0,0,0,Energetic
Khamosh Ho Kyun,Iqbal Bano,/artist/iqbal-bano,0.0,Urdu,2001-05-03,0.12,0.77,0.87,0.26,-6.786,0.0753,220.002,0,1,0.007,4,65,9167957,0,0,0,Energetic
Mahboob-E-Kibriya,Saeed Hashmi,/artist/saeed-hashmi,0.0,Urdu,2001-05-04,0.64,0.036,0.273,0.169,-2.735,0.08,139.996,0,0,0.04,4,30,6890570,0,0,0,Sad
Dam Dam Must Qalandar,Alif Din Pathan,/artist/alif-din-pathan,0.0,Urdu,2001-05-09,0.38,0.09,0.3,0.6,-8.152,0.057,148.444,1,1,0.05,4,77,9805368,0,0,0,Sad
Saba Janabe Ali Se Salam,Mohammed Rafi,/artist/mohammad-rafi,0.0,Urdu,2001-05-11,0.5,0.68,0.5,0.04,-13.856,0.096,131.965,0,1,0.002,4,77,2207770,0,0,0,Sad
Ya Rab Gham-E-Hijran Mein,Jagjit Singh|Chitra Singh,/artist/jagjeet-singh-1|/artist/chitra-singh,0.0,Urdu,2001-05-12,0.77,0.31,0.3,0.22,-3.57,0.065,160.08,1,1,0.08,4,54,5898268,0,0,0,Sad
Pee Kar Sharab Saqi Se,Munni Begum,/artist/munni-begum,0.0,Urdu,2001-06-03,0.43,0.75,0.9,0.65,-13.401,0.018,111.073,1,2,0.0,4,85,6158620,0,0,0,Happy
Charag Toor Jalao,Mehdi Hassan,/artist/mehdi-hassan,0.0,Urdu,2001-06-06,0.03,0.75,0.5,0.17,-3.375,0.096,162.013,0,9,0.08,4,31,3564476,0,0,0,Sad
Chup Gaye Sitare,Afshaan,/artist/afshaan,0.0,Urdu,2001-06-06,0.78,0.225,0.872,0.978,-10.714,0.05,184.016,1,1,0.093,4,89,4861675,0,0,0,Happy
Dard Sharminda,Nighat Akbar,/artist/nighat-akbar,0.0,Urdu,2001-06-08,0.1,0.619,0.387,0.891,-9.785,0.08,140.002,0,11,0.04,4,66,216782,0,0,0,Sad
Imaan Hai Yahi,Shaheda Khan,/artist/shaheda-khan,0.0,Urdu,2001-06-11,0.04,0.22,1.0,0.4,-9.418,0.0569,197.568,0,4,0.078,4,44,5362418,0,0,0,Happy
Dekhna Unka Kankhiyon Se,Mehdi Hassan,/artist/mehdi-hassan,0.0,Urdu,2001-06-11,0.18,0.76,0.4,0.36,-12.695,0.09,150.019,1,1,0.07,4,43,9717085,0,0,0,Sad
Allah Allah-Part -1,Mohammad Aziz|Madhur Adib,/artist/mohammad-aziz|/artist/madhur-adib,0.0,Urdu,2001-07-01,0.28,0.466,0.235,0.473,-12.161,0.056,160.046,1,6,0.04,4,83,10462621,0,0,0,Sad
O Ho Ho Ho Jaanan,Runa Laila,/artist/runa-laila,0.0,Urdu,2001-07-02,0.45,0.257,0.031,0.385,-12.719,0.04,145.024,1,7,0.02,4,49,4987127,0,0,0,Sad
Ek Na Ek Shama Andhere Mein Jalaye Rakhiye,Chitra Singh,/artist/chitra-singh,0.0,Urdu,2001-07-04,0.93,0.28,0.7,0.31,-4.572,0.0262,114.956,0,8,0.055,4,66,922841,0,0,0,Happy
O' Sohne Yaar,Nahid Akhtar,/artist/nahid-akhtar,0.0,Urdu,2001-07-06,0.73,0.475,0.095,0.118,-4.103,0.09,153.82,1,9,0.02,4,98,5368450,0,0,0,Sad
Jalvo Wakat,Mohammed Rafi,/artist/mohammad-rafi,0.0,Urdu,2001-07-07,0.59,0.004,0.453,0.805,-13.265,0.0134,144.026,1,10,0.08,4,55,3503544,0,0,0,Sad
Mai Mai Kaise Jiyun Ri,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Urdu,2001-07-09,0.79,0.03,0.4,0.39,-6.249,0.0477,219.692,1,1,0.03,4,53,198282,0,0,0,Sad
Sathi Koi,Ali Abbas|Khalid Ghayur|Jamal Ghani,/artist/ali-abbas|/artist/khalid-ghayur|/artist/jamal-ghani,0.0,Urdu,2001-07-09,0.7,0.53,0.7,0.12,-3.34,0.018,183.944,0,10,0.008,4,53,5676639,0,0,0,Energetic
Mone Pare Aaj Se Kon Janame,Feroza Begum,/artist/feroza-begum,0.0,Urdu,2001-07-10,0.73,0.223,0.097,0.297,-5.229,0.017,167.656,0,5,0.1,4,56,4658227,0,0,0,Sad
Parwer Digar-E-Alam,Muzaffar Warisi,/artist/muzaffar-warisi,0.0,Urdu,2001-07-11,0.89,0.97,1.0,0.94,-12.312,0.033,130.01,0,3,0.054,4,59,8558167,0,0,0,Happy
Kabhi Kaha Na Kisi Se,Asha Bhosle,/artist/asha-bhosle-1,0.0,Urdu,2001-07-12,0.2,0.933,0.559,0.127,-13.664,0.0647,210.134,1,0,0.03,4,64,10860268,0,0,0,Sad
Bahar - Teen Taal,Roshan Ara Begum,/artist/roshan-ara-begum,0.0,Urdu,2001-08-01,0.99,0.997,0.07,0.74,-6.144,0.06,124.982,0,10,0.058,4,27,9594145,0,0,0,Sad
Saba Madine Agar Too,Fareeda Syed,/artist/fareeda-syed,0.0,Urdu,2001-08-06,0.9,0.908,0.994,0.919,-11.676,0.06,149.98,0,4,0.0127,4,38,3499805,0,0,0,Happy
Hashar Ke Ros Yeh Pochon Ga - Part-1,Aziz Miyan Qawwal,/artist/aziz-miyan-qawwal,0.0,Urdu,2001-08-07,0.29,0.94,0.6,0.86,-12.113,0.01,175.014,1,9,0.0519,4,60,10256782,0,0,0,Sad
Raat Tumne Jo Deep,Ghulam Ali,/artist/ghulam-ali,0.0,Urdu,2001-08-09,0.79,0.62,0.83,0.103,-4.719,0.045,126.006,0,5,0.0348,4,33,6037846,0,0,0,Happy
Dulhaniya Roti Mat Jana,Najma Niazi,/artist/najma-niazi,0.0,Urdu,2001-08-09,0.16,0.43,0.1,0.86,-2.454,0.07,150.036,0,3,0.09,4,78,4384219,0,0,0,Sad
Koi Ajnabi Sa,Abida Parveen,/artist/abida-parveen,0.0,Urdu,2001-08-12,0.62,0.945,0.655,0.056,-5.973,0.1,199.948,0,1,0.054,4,85,418341,0,0,0,Happy
Dare Nabi Ki Taraf,Akhtar Azad,/artist/akhtar-azad,0.0,Urdu,2001-09-02,0.71,0.68,0.981,0.886,-6.311,0.03,145.936,1,0,0.04,4,74,4125058,0,0,0,Happy
